txn_id,account_id,net_amount,source_file
TXN-1140267,ACC-1110,2288.01,transactions/2023-01.csv
TXN-1555224,ACC-1103,1680.00,transactions/2023-01.csv
TXN-1683240,ACC-1128,780.03,transactions/2023-01.csv
TXN-2891376,ACC-1123,858.02,transactions/2023-01.csv
TXN-3023849,ACC-1049,1007.80,transactions/2023-01.csv
TXN-3278176,ACC-1081,2408.00,transactions/2023-01.csv
TXN-3900586,ACC-1011,1595.10,transactions/2023-01.csv
TXN-5362108,ACC-1004,3355.60,transactions/2023-01.csv
TXN-5920697,ACC-1114,1016.34,transactions/2023-01.csv
TXN-6758373,ACC-1091,543.20,transactions/2023-01.csv
TXN-7396095,ACC-1052,4942.24,transactions/2023-01.csv
TXN-7747416,ACC-1081,3000.24,transactions/2023-01.csv
TXN-1839519,ACC-1020,1028.97,transactions/2023-01.csv
TXN-4264657,ACC-1052,2364.13,transactions/2023-01.csv
TXN-4550206,ACC-1118,99.19,transactions/2023-01.csv
TXN-5180943,ACC-1090,691.91,transactions/2023-01.csv
TXN-5424196,ACC-1095,888.28,transactions/2023-01.csv
TXN-5613062,ACC-1044,1599.34,transactions/2023-01.csv
TXN-5730295,ACC-1028,4164.40,transactions/2023-01.csv
TXN-6037666,ACC-1022,272.13,transactions/2023-01.csv
TXN-6074534,ACC-1015,918.33,transactions/2023-01.csv
TXN-6195791,ACC-1129,1407.74,transactions/2023-01.csv
TXN-7024523,ACC-1085,1818.32,transactions/2023-01.csv
TXN-7256119,ACC-1084,1742.68,transactions/2023-01.csv
TXN-7567560,ACC-1089,274.45,transactions/2023-01.csv
TXN-8575623,ACC-1095,1092.97,transactions/2023-01.csv
TXN-8611652,ACC-1019,2993.91,transactions/2023-01.csv
TXN-8751620,ACC-1003,239.15,transactions/2023-01.csv
TXN-9772110,ACC-1107,771.35,transactions/2023-01.csv
TXN-9784473,ACC-1027,1697.58,transactions/2023-01.csv
TXN-1072094,ACC-1081,2306.28,transactions/2023-01.csv
TXN-1126335,ACC-1036,627.08,transactions/2023-01.csv
TXN-1610007,ACC-1089,1604.24,transactions/2023-01.csv
TXN-1748857,ACC-1098,388.91,transactions/2023-01.csv
TXN-1924785,ACC-1085,371.23,transactions/2023-01.csv
TXN-2633067,ACC-1103,2166.20,transactions/2023-01.csv
