txn_id,date,account_id,type,gross_amount,fee_amount,net_amount
TXN-1105817,2025-11-01,ACC-1122,payment,313.68,9.40,304.28
TXN-1730917,2025-11-01,ACC-1035,payment,856.99,16.48,840.51
TXN-1999386,2025-11-01,ACC-1083,payment,1716.51,32.81,1683.70
TXN-3271931,2025-11-01,ACC-1107,payment,1644.02,47.98,1596.04
TXN-3549880,2025-11-01,ACC-1093,payment,873.62,25.63,847.99
TXN-4883293,2025-11-01,ACC-1104,refund,84.32,0.20,84.12
TXN-5500467,2025-11-01,ACC-1066,payment,1256.85,24.08,1232.77
TXN-5621467,2025-11-01,ACC-1064,payment,1023.10,29.97,993.13
TXN-6073292,2025-11-01,ACC-1017,payment,2296.78,66.91,2229.87
TXN-6222893,2025-11-01,ACC-1052,transfer,1209.84,7.36,1202.48
TXN-6752795,2025-11-01,ACC-1074,payment,1628.43,39.33,1589.10
TXN-8085920,2025-11-01,ACC-1066,transfer,1529.94,6.17,1523.77
TXN-8465123,2025-11-01,ACC-1025,payment,856.52,20.81,835.71
TXN-8508929,2025-11-01,ACC-1124,payment,1604.96,38.77,1566.19
TXN-8669549,2025-11-01,ACC-1094,payment,168.13,4.29,163.84
TXN-8867081,2025-11-01,ACC-1028,payment,1074.87,31.47,1043.40
TXN-9100028,2025-11-01,ACC-1119,payment,959.95,23.29,936.66
TXN-9574062,2025-11-01,ACC-1073,payment,1815.77,52.96,1762.81
TXN-9583689,2025-11-01,ACC-1044,payment,1187.05,22.75,1164.30
TXN-1010700,2025-11-02,ACC-1076,transfer,344.95,2.17,342.78
TXN-1110209,2025-11-02,ACC-1042,payment,1492.74,43.59,1449.15
TXN-1262004,2025-11-02,ACC-1013,payment,2129.90,51.37,2078.53
TXN-1322236,2025-11-02,ACC-1042,transfer,4035.29,32.38,4002.91
TXN-1572913,2025-11-02,ACC-1067,refund,151.33,0.25,151.08
TXN-2318667,2025-11-02,ACC-1014,payment,1753.22,51.14,1702.08
TXN-3204497,2025-11-02,ACC-1041,refund,369.87,0.25,369.62
TXN-3574126,2025-11-02,ACC-1110,payment,850.85,20.67,830.18
TXN-3642524,2025-11-02,ACC-1064,payment,689.54,20.30,669.24
TXN-4172123,2025-11-02,ACC-1007,payment,2205.49,64.26,2141.23
TXN-4632421,2025-11-02,ACC-1074,transfer,1723.26,10.44,1712.82
TXN-4734217,2025-11-02,ACC-1047,payment,1290.57,24.72,1265.85
TXN-5583051,2025-11-02,ACC-1016,transfer,2664.38,21.42,2642.96
TXN-5774201,2025-11-02,ACC-1001,payment,297.47,7.39,290.08
TXN-6803668,2025-11-02,ACC-1004,payment,579.11,11.20,567.91
TXN-7103015,2025-11-02,ACC-1011,payment,1239.97,36.26,1203.71
TXN-8104869,2025-11-02,ACC-1063,payment,85.35,2.78,82.57
TXN-8752802,2025-11-02,ACC-1064,payment,1147.90,33.59,1114.31
TXN-8972600,2025-11-02,ACC-1015,transfer,2795.97,22.47,2773.50
TXN-9069270,2025-11-02,ACC-1025,transfer,3908.93,23.55,3885.38
TXN-9082118,2025-11-02,ACC-1073,payment,417.93,12.42,405.51
TXN-2402863,2025-11-03,ACC-1056,refund,21.38,0.25,21.13
TXN-2662360,2025-11-03,ACC-1061,transfer,946.14,7.67,938.47
TXN-3073571,2025-11-03,ACC-1128,payment,747.45,21.98,725.47
TXN-3883558,2025-11-03,ACC-1121,payment,1004.30,24.35,979.95
TXN-4003961,2025-11-03,ACC-1091,transfer,1911.87,15.39,1896.48
TXN-5385823,2025-11-03,ACC-1065,transfer,3563.07,28.60,3534.47
TXN-7129692,2025-11-03,ACC-1025,payment,2461.13,59.32,2401.81
TXN-7858414,2025-11-03,ACC-1019,payment,1642.36,47.93,1594.43
TXN-8545380,2025-11-03,ACC-1024,payment,1514.99,28.98,1486.01
TXN-8923636,2025-11-03,ACC-1017,payment,342.11,10.22,331.89
TXN-9390737,2025-11-03,ACC-1116,transfer,4727.16,37.92,4689.24
TXN-9676610,2025-11-03,ACC-1051,refund,391.98,0.20,391.78
TXN-1020028,2025-11-04,ACC-1083,transfer,4096.80,16.44,4080.36
TXN-1293903,2025-11-04,ACC-1046,payment,2460.38,71.65,2388.73
TXN-1311337,2025-11-04,ACC-1039,payment,1561.74,45.59,1516.15
TXN-2103472,2025-11-04,ACC-1056,payment,639.78,18.85,620.93
TXN-2396732,2025-11-04,ACC-1024,transfer,2406.04,9.67,2396.37
TXN-3496410,2025-11-04,ACC-1015,payment,1936.56,56.46,1880.10
TXN-4617151,2025-11-04,ACC-1090,payment,332.09,8.22,323.87
TXN-4803785,2025-11-04,ACC-1100,payment,244.55,7.39,237.16
TXN-4979411,2025-11-04,ACC-1086,payment,502.45,9.75,492.70
TXN-5551612,2025-11-04,ACC-1091,refund,371.20,0.25,370.95
TXN-5985739,2025-11-04,ACC-1096,payment,970.06,28.43,941.63
TXN-7366623,2025-11-04,ACC-1068,payment,2176.79,52.49,2124.30
TXN-7765246,2025-11-04,ACC-1028,payment,399.64,11.89,387.75
TXN-7843898,2025-11-04,ACC-1071,payment,2219.85,64.68,2155.17
TXN-8173894,2025-11-04,ACC-1059,transfer,2187.81,17.60,2170.21
TXN-8786535,2025-11-04,ACC-1034,transfer,4215.10,33.82,4181.28
TXN-9089545,2025-11-04,ACC-1089,transfer,543.34,3.36,539.98
TXN-2035851,2025-11-05,ACC-1095,payment,2341.86,56.45,2285.41
TXN-2050627,2025-11-05,ACC-1125,payment,1778.76,34.00,1744.76
TXN-2782077,2025-11-05,ACC-1124,transfer,3089.00,18.63,3070.37
TXN-3010760,2025-11-05,ACC-1013,transfer,221.95,1.43,220.52
TXN-3696861,2025-11-05,ACC-1010,payment,1147.29,22.00,1125.29
TXN-4338701,2025-11-05,ACC-1038,refund,172.12,0.25,171.87
TXN-4339197,2025-11-05,ACC-1106,payment,1812.12,43.74,1768.38
TXN-4698435,2025-11-05,ACC-1060,payment,1533.66,44.78,1488.88
TXN-4701574,2025-11-05,ACC-1051,payment,1397.41,26.75,1370.66
TXN-5020768,2025-11-05,ACC-1044,payment,767.59,14.78,752.81
TXN-5456936,2025-11-05,ACC-1045,transfer,4937.06,29.72,4907.34
TXN-5628769,2025-11-05,ACC-1024,payment,314.33,6.17,308.16
TXN-6873267,2025-11-05,ACC-1058,payment,729.39,21.45,707.94
TXN-7635073,2025-11-05,ACC-1044,refund,336.95,0.20,336.75
TXN-8506343,2025-11-05,ACC-1081,payment,1594.37,46.54,1547.83
TXN-8912272,2025-11-05,ACC-1095,payment,1495.57,36.14,1459.43
TXN-9322638,2025-11-05,ACC-1128,payment,2172.15,63.29,2108.86
TXN-1277493,2025-11-06,ACC-1093,refund,352.98,0.25,352.73
TXN-2101946,2025-11-06,ACC-1016,payment,1125.57,32.94,1092.63
TXN-2387238,2025-11-06,ACC-1113,payment,2033.51,49.05,1984.46
TXN-2524458,2025-11-06,ACC-1082,payment,974.65,28.56,946.09
TXN-2752167,2025-11-06,ACC-1107,payment,2150.29,62.66,2087.63
TXN-3134287,2025-11-06,ACC-1083,transfer,2791.50,11.22,2780.28
TXN-3717282,2025-11-06,ACC-1045,refund,182.99,0.25,182.74
TXN-3745371,2025-11-06,ACC-1110,transfer,1122.47,6.83,1115.64
TXN-4502242,2025-11-06,ACC-1077,payment,2017.43,38.53,1978.90
TXN-4679518,2025-11-06,ACC-1027,payment,382.76,11.40,371.36
TXN-4770455,2025-11-06,ACC-1010,payment,1673.12,31.99,1641.13
TXN-4808929,2025-11-06,ACC-1071,payment,2153.61,62.75,2090.86
TXN-4895618,2025-11-06,ACC-1104,refund,399.56,0.20,399.36
TXN-5524072,2025-11-06,ACC-1110,payment,336.33,8.32,328.01
TXN-5819893,2025-11-06,ACC-1016,payment,409.02,12.16,396.86
TXN-5926003,2025-11-06,ACC-1021,transfer,1501.79,12.11,1489.68
TXN-8631120,2025-11-06,ACC-1084,payment,394.05,11.73,382.32
TXN-9019112,2025-11-06,ACC-1093,refund,112.11,0.25,111.86
TXN-9058195,2025-11-06,ACC-1075,payment,378.46,11.28,367.18
TXN-9935756,2025-11-06,ACC-1129,payment,136.55,4.26,132.29
TXN-1057704,2025-11-07,ACC-1036,payment,1343.85,39.27,1304.58
TXN-1285424,2025-11-07,ACC-1065,payment,1667.13,48.65,1618.48
TXN-1306478,2025-11-07,ACC-1024,payment,1300.87,24.92,1275.95
TXN-1345364,2025-11-07,ACC-1016,refund,177.19,0.25,176.94
TXN-1882925,2025-11-07,ACC-1001,transfer,2039.80,12.34,2027.46
TXN-1923278,2025-11-07,ACC-1062,refund,201.69,0.25,201.44
TXN-3092114,2025-11-07,ACC-1019,payment,1353.25,39.54,1313.71
TXN-3297525,2025-11-07,ACC-1023,refund,56.59,0.20,56.39
TXN-3729649,2025-11-07,ACC-1038,payment,2371.40,57.16,2314.24
TXN-5564618,2025-11-07,ACC-1104,transfer,1499.33,6.05,1493.28
