txn_id,account_id,net_amount,source_file
TXN-1261444,ACC-1078,42.47,transactions/2023-01.csv
TXN-2275559,ACC-1116,1817.97,transactions/2023-01.csv
TXN-2500682,ACC-1111,525.79,transactions/2023-01.csv
TXN-3361077,ACC-1087,2260.07,transactions/2023-01.csv
TXN-3771848,ACC-1098,1500.76,transactions/2023-01.csv
TXN-4547762,ACC-1011,744.71,transactions/2023-01.csv
TXN-5293269,ACC-1075,1950.51,transactions/2023-01.csv
TXN-5328773,ACC-1035,1892.34,transactions/2023-01.csv
TXN-5625817,ACC-1038,1027.74,transactions/2023-01.csv
TXN-6304913,ACC-1101,1670.87,transactions/2023-01.csv
TXN-6585470,ACC-1009,590.21,transactions/2023-01.csv
TXN-6859779,ACC-1030,173.70,transactions/2023-01.csv
TXN-7228513,ACC-1092,1394.32,transactions/2023-01.csv
TXN-7945022,ACC-1126,3169.97,transactions/2023-01.csv
TXN-8184615,ACC-1042,742.30,transactions/2023-01.csv
TXN-9415554,ACC-1032,2335.47,transactions/2023-01.csv
TXN-9437780,ACC-1004,222.99,transactions/2023-01.csv
TXN-9511246,ACC-1114,243.44,transactions/2023-01.csv
TXN-9714194,ACC-1029,780.69,transactions/2023-01.csv
TXN-1715443,ACC-1037,1771.27,transactions/2023-01.csv
TXN-2337977,ACC-1091,326.82,transactions/2023-01.csv
TXN-3526638,ACC-1091,1173.60,transactions/2023-01.csv
TXN-3609493,ACC-1082,288.58,transactions/2023-01.csv
TXN-4470688,ACC-1072,3144.84,transactions/2023-01.csv
TXN-4525956,ACC-1061,2039.85,transactions/2023-01.csv
TXN-6039926,ACC-1105,2301.17,transactions/2023-01.csv
TXN-7097999,ACC-1123,666.60,transactions/2023-01.csv
TXN-7823148,ACC-1091,3017.92,transactions/2023-01.csv
TXN-8026350,ACC-1066,1579.44,transactions/2023-01.csv
TXN-1715789,ACC-1004,1846.55,transactions/2023-01.csv
TXN-2008997,ACC-1021,96.99,transactions/2023-01.csv
TXN-2174893,ACC-1002,133.83,transactions/2023-01.csv
TXN-2335684,ACC-1039,1702.99,transactions/2023-01.csv
TXN-2363894,ACC-1110,1555.55,transactions/2023-01.csv
TXN-2637421,ACC-1100,1753.21,transactions/2023-01.csv
TXN-3349963,ACC-1050,878.60,transactions/2023-01.csv
TXN-4345869,ACC-1090,3321.41,transactions/2023-01.csv
TXN-5576347,ACC-1085,883.19,transactions/2023-01.csv
TXN-5847720,ACC-1111,31.16,transactions/2023-01.csv
TXN-5966155,ACC-1126,2370.67,transactions/2023-01.csv
TXN-5970398,ACC-1050,301.83,transactions/2023-01.csv
TXN-6545263,ACC-1085,3973.78,transactions/2023-01.csv
TXN-6655115,ACC-1073,2020.31,transactions/2023-01.csv
TXN-6840189,ACC-1060,1105.56,transactions/2023-01.csv
TXN-6987243,ACC-1032,1196.07,transactions/2023-01.csv
TXN-7106309,ACC-1097,2246.68,transactions/2023-01.csv
TXN-7532276,ACC-1106,302.76,transactions/2023-01.csv
TXN-8874980,ACC-1050,273.59,transactions/2023-01.csv
TXN-9067618,ACC-1115,1431.09,transactions/2023-01.csv
TXN-9408383,ACC-1122,1510.38,transactions/2023-01.csv
TXN-9988239,ACC-1012,94.14,transactions/2023-01.csv
TXN-2339226,ACC-1026,1942.58,transactions/2023-01.csv
TXN-3265937,ACC-1122,2395.37,transactions/2023-01.csv
TXN-3675689,ACC-1082,353.40,transactions/2023-01.csv
TXN-4494018,ACC-1086,1515.52,transactions/2023-01.csv
TXN-4495016,ACC-1078,763.20,transactions/2023-01.csv
TXN-4694963,ACC-1015,912.97,transactions/2023-01.csv
TXN-4776535,ACC-1104,1594.50,transactions/2023-01.csv
TXN-4831702,ACC-1095,1089.97,transactions/2023-01.csv
TXN-5120394,ACC-1030,125.35,transactions/2023-01.csv
TXN-5195856,ACC-1030,4821.76,transactions/2023-01.csv
TXN-5437662,ACC-1053,25.44,transactions/2023-01.csv
TXN-5560009,ACC-1062,2319.07,transactions/2023-01.csv
TXN-6429517,ACC-1128,37.52,transactions/2023-01.csv
TXN-6449262,ACC-1049,838.38,transactions/2023-01.csv
TXN-6925116,ACC-1055,1909.50,transactions/2023-01.csv
TXN-8237438,ACC-1050,1862.05,transactions/2023-01.csv
TXN-9059684,ACC-1050,2181.21,transactions/2023-01.csv
TXN-9102780,ACC-1090,3992.61,transactions/2023-01.csv
TXN-9363162,ACC-1032,402.68,transactions/2023-01.csv
TXN-9957775,ACC-1040,100.01,transactions/2023-01.csv
TXN-1580344,ACC-1016,2385.57,transactions/2023-01.csv
TXN-1624444,ACC-1121,932.07,transactions/2023-01.csv
TXN-2069931,ACC-1114,468.62,transactions/2023-01.csv
TXN-2520465,ACC-1089,63.13,transactions/2023-01.csv
TXN-2967834,ACC-1067,1929.82,transactions/2023-01.csv
TXN-3089556,ACC-1098,455.55,transactions/2023-01.csv
TXN-3492758,ACC-1115,3215.74,transactions/2023-01.csv
TXN-3501659,ACC-1050,1327.36,transactions/2023-01.csv
TXN-3698908,ACC-1002,2310.63,transactions/2023-01.csv
TXN-4817058,ACC-1041,1917.55,transactions/2023-01.csv
TXN-4927438,ACC-1084,1706.00,transactions/2023-01.csv
TXN-5232893,ACC-1097,147.23,transactions/2023-01.csv
TXN-7865920,ACC-1059,2719.53,transactions/2023-01.csv
TXN-8688399,ACC-1130,1708.79,transactions/2023-01.csv
TXN-9101188,ACC-1053,160.89,transactions/2023-01.csv
TXN-9477705,ACC-1112,585.24,transactions/2023-01.csv
TXN-9687660,ACC-1011,1507.88,transactions/2023-01.csv
TXN-1232727,ACC-1066,2511.26,transactions/2023-01.csv
TXN-3366676,ACC-1004,1825.12,transactions/2023-01.csv
TXN-3485127,ACC-1053,283.33,transactions/2023-01.csv
TXN-3544013,ACC-1124,258.42,transactions/2023-01.csv
TXN-3686363,ACC-1085,247.68,transactions/2023-01.csv
TXN-3796087,ACC-1097,683.39,transactions/2023-01.csv
TXN-4052497,ACC-1039,124.99,transactions/2023-01.csv
TXN-4558204,ACC-1087,1065.49,transactions/2023-01.csv
TXN-4701531,ACC-1057,295.58,transactions/2023-01.csv
TXN-5294762,ACC-1120,1223.71,transactions/2023-01.csv
TXN-5777766,ACC-1035,10.52,transactions/2023-01.csv
TXN-5967501,ACC-1117,2268.93,transactions/2023-01.csv
TXN-7381141,ACC-1013,151.39,transactions/2023-01.csv
TXN-7707575,ACC-1069,952.89,transactions/2023-01.csv
TXN-7938709,ACC-1067,285.68,transactions/2023-01.csv
TXN-8263401,ACC-1099,1428.32,transactions/2023-01.csv
TXN-8321813,ACC-1010,2217.28,transactions/2023-01.csv
TXN-8941303,ACC-1035,1751.04,transactions/2023-01.csv
TXN-8960340,ACC-1080,3459.55,transactions/2023-01.csv
TXN-9117260,ACC-1003,4500.08,transactions/2023-01.csv
TXN-9640313,ACC-1021,2015.00,transactions/2023-01.csv
TXN-9658747,ACC-1038,1021.87,transactions/2023-01.csv
TXN-9886669,ACC-1015,1057.77,transactions/2023-01.csv
TXN-1076302,ACC-1122,1772.42,transactions/2023-01.csv
TXN-1216920,ACC-1066,1242.44,transactions/2023-01.csv
TXN-1568387,ACC-1020,2021.55,transactions/2023-01.csv
TXN-2120403,ACC-1075,1242.99,transactions/2023-01.csv
TXN-2307479,ACC-1072,244.59,transactions/2023-01.csv
TXN-2845419,ACC-1030,1191.54,transactions/2023-01.csv
TXN-3430527,ACC-1063,1220.80,transactions/2023-01.csv
TXN-3769877,ACC-1079,4630.20,transactions/2023-01.csv
TXN-3920167,ACC-1042,2433.79,transactions/2023-01.csv
TXN-4409537,ACC-1091,1630.94,transactions/2023-01.csv
TXN-5020552,ACC-1009,1030.85,transactions/2023-01.csv
TXN-5565534,ACC-1002,770.60,transactions/2023-01.csv
TXN-6028484,ACC-1038,463.80,transactions/2023-01.csv
TXN-6555161,ACC-1056,2318.96,transactions/2023-01.csv
TXN-6639498,ACC-1128,389.22,transactions/2023-01.csv
TXN-7020441,ACC-1057,1903.30,transactions/2023-01.csv
TXN-7066441,ACC-1015,1791.90,transactions/2023-01.csv
TXN-7216466,ACC-1032,2355.89,transactions/2023-01.csv
TXN-7369979,ACC-1115,313.23,transactions/2023-01.csv
TXN-9195208,ACC-1020,787.42,transactions/2023-01.csv
