txn_id,date,account_id,type,gross_amount,fee_amount,net_amount
TXN-1727729,2023-05-01,ACC-1012,payment,2385.87,57.51,2328.36
TXN-1949039,2023-05-01,ACC-1102,refund,298.50,0.15,298.35
TXN-2306063,2023-05-01,ACC-1103,payment,572.34,16.90,555.44
TXN-3733591,2023-05-01,ACC-1070,transfer,3645.69,29.27,3616.42
TXN-4206620,2023-05-01,ACC-1128,transfer,1016.20,6.20,1010.00
TXN-5339122,2023-05-01,ACC-1055,transfer,2540.22,8.93,2531.29
TXN-5377754,2023-05-01,ACC-1079,refund,238.25,0.25,238.00
TXN-5838565,2023-05-01,ACC-1077,payment,689.05,20.28,668.77
TXN-5890762,2023-05-01,ACC-1085,payment,2196.43,64.00,2132.43
TXN-7425869,2023-05-01,ACC-1026,payment,634.84,15.49,619.35
TXN-9304271,2023-05-01,ACC-1036,transfer,224.03,1.89,222.14
TXN-9690594,2023-05-01,ACC-1072,payment,2012.88,48.56,1964.32
TXN-9898219,2023-05-01,ACC-1062,payment,1088.51,31.87,1056.64
TXN-9900981,2023-05-01,ACC-1122,payment,1175.94,34.40,1141.54
TXN-1244832,2023-05-02,ACC-1069,payment,1038.18,30.41,1007.77
TXN-1641215,2023-05-02,ACC-1033,payment,1229.75,35.96,1193.79
TXN-2108926,2023-05-02,ACC-1030,payment,1948.78,56.81,1891.97
TXN-2351679,2023-05-02,ACC-1040,payment,366.13,6.16,359.97
TXN-2360141,2023-05-02,ACC-1120,payment,652.27,15.90,636.37
TXN-2381536,2023-05-02,ACC-1101,payment,684.62,16.68,667.94
TXN-2644963,2023-05-02,ACC-1033,payment,1852.31,54.02,1798.29
TXN-4588959,2023-05-02,ACC-1008,payment,307.61,9.22,298.39
TXN-4682236,2023-05-02,ACC-1087,refund,97.89,0.15,97.74
TXN-4684038,2023-05-02,ACC-1053,payment,502.34,14.87,487.47
TXN-5231301,2023-05-02,ACC-1127,refund,35.68,0.25,35.43
TXN-5301667,2023-05-02,ACC-1033,transfer,4102.14,32.92,4069.22
TXN-5988496,2023-05-02,ACC-1126,payment,1936.41,56.46,1879.95
TXN-7095024,2023-05-02,ACC-1096,payment,1295.99,31.35,1264.64
TXN-8034376,2023-05-02,ACC-1056,payment,309.71,7.68,302.03
TXN-8364470,2023-05-02,ACC-1040,transfer,2961.19,10.40,2950.79
TXN-8621740,2023-05-02,ACC-1100,payment,1949.81,32.29,1917.52
TXN-9862260,2023-05-02,ACC-1094,payment,808.72,13.46,795.26
TXN-9970775,2023-05-02,ACC-1088,transfer,4607.98,27.75,4580.23
TXN-1223410,2023-05-03,ACC-1094,payment,1368.67,22.70,1345.97
TXN-1609577,2023-05-03,ACC-1005,payment,201.21,5.08,196.13
TXN-2916839,2023-05-03,ACC-1074,payment,1734.01,50.59,1683.42
TXN-3490006,2023-05-03,ACC-1040,payment,291.25,4.93,286.32
TXN-4398453,2023-05-03,ACC-1029,payment,1703.87,49.71,1654.16
