elapsed_seconds,timestamp,cpu_percent,rss_mb,pss_mb,uss_mb,lazy_free_mb,live_mb,active_runs
0.020,2026-08-05T17:29:17,0.00,18.516,,,0.000,8.438,0
0.569,2026-08-05T17:29:18,0.00,18.516,,,0.000,8.438,0
1.123,2026-08-05T17:29:18,0.00,18.516,,,0.000,8.438,0
1.675,2026-08-05T17:29:19,0.00,18.516,,,0.000,8.438,0
2.210,2026-08-05T17:29:19,1.02,58.109,,,0.000,46.000,28
2.753,2026-08-05T17:29:20,1.48,111.016,,,0.000,99.000,68
3.299,2026-08-05T17:29:20,1.49,164.125,,,0.000,152.000,108
3.842,2026-08-05T17:29:21,1.73,208.062,,,0.203,194.797,147
4.391,2026-08-05T17:29:21,1.81,246.391,,,0.000,234.000,187
4.928,2026-08-05T17:29:22,1.94,284.188,,,0.141,271.859,228
5.472,2026-08-05T17:29:22,2.12,321.484,,,0.000,310.000,267
6.018,2026-08-05T17:29:23,2.19,357.141,,,0.000,346.000,306
6.563,2026-08-05T17:29:24,2.32,396.562,,,0.000,385.000,347
7.106,2026-08-05T17:29:24,2.56,440.609,,,0.000,430.000,391
7.653,2026-08-05T17:29:25,2.62,464.219,,,0.000,451.000,432
8.202,2026-08-05T17:29:25,2.76,483.094,,,0.000,470.000,473
8.752,2026-08-05T17:29:26,3.05,502.578,,,0.000,490.000,513
9.294,2026-08-05T17:29:26,2.88,516.344,,,0.000,504.000,555
9.840,2026-08-05T17:29:27,3.19,530.594,,,0.000,518.000,595
10.387,2026-08-05T17:29:27,3.40,545.688,,,1.109,529.891,637
10.930,2026-08-05T17:29:28,3.30,555.547,,,1.109,539.891,677
11.475,2026-08-05T17:29:28,3.92,564.500,,,1.109,548.891,717
12.023,2026-08-05T17:29:29,4.02,569.938,,,0.000,557.000,755
12.574,2026-08-05T17:29:30,4.00,577.594,,,0.141,563.859,794
13.126,2026-08-05T17:29:30,5.45,586.828,,,0.141,572.859,837
13.677,2026-08-05T17:29:31,5.74,593.625,,,0.375,579.625,882
14.234,2026-08-05T17:29:31,6.05,602.391,,,0.062,589.938,926
14.786,2026-08-05T17:29:32,8.18,613.188,,,0.234,599.766,969
15.335,2026-08-05T17:29:32,8.56,623.156,,,0.234,609.766,1000
15.887,2026-08-05T17:29:33,10.12,630.484,,,1.219,615.781,1000
16.436,2026-08-05T17:29:33,10.70,635.891,,,2.906,617.094,1000
16.989,2026-08-05T17:29:34,9.94,641.141,,,1.250,625.750,1000
17.539,2026-08-05T17:29:35,10.50,647.469,,,2.453,629.547,1000
18.088,2026-08-05T17:29:35,11.28,650.328,,,2.297,632.703,1000
18.635,2026-08-05T17:29:36,9.82,654.953,,,2.875,636.125,1000
19.186,2026-08-05T17:29:36,11.38,661.031,,,2.453,643.547,1000
19.739,2026-08-05T17:29:37,11.30,667.031,,,2.406,648.594,1000
20.288,2026-08-05T17:29:37,11.74,673.984,,,2.344,656.656,1000
20.832,2026-08-05T17:29:38,11.49,681.438,,,4.047,659.953,1000
21.380,2026-08-05T17:29:38,11.11,687.078,,,3.891,666.109,1000
21.925,2026-08-05T17:29:39,11.86,693.109,,,7.141,665.859,1000
22.476,2026-08-05T17:29:39,10.16,699.266,,,8.547,669.453,1000
23.033,2026-08-05T17:29:40,9.84,703.062,,,7.688,674.312,1000
23.582,2026-08-05T17:29:41,12.18,707.516,,,11.000,672.000,1000
24.131,2026-08-05T17:29:41,11.97,711.391,,,9.656,678.344,1000
24.684,2026-08-05T17:29:42,10.36,715.141,,,11.000,679.000,999
25.235,2026-08-05T17:29:42,11.41,718.438,,,11.000,683.000,999
25.783,2026-08-05T17:29:43,10.82,723.234,,,11.000,689.000,1001
