run_id,start_seconds,end_seconds
deep-researcher-1785976159-5ff20bec3ec0,1.807,82.180
wide-researcher-1785976159-c40e20aa2056,1.815,31.191
reviewer-1785976159-dec845e48d74,1.835,79.547
data-analyst-1785976159-d6d6382d30c2,1.858,76.268
deep-researcher-1785976159-c05a35785ec1,1.868,76.925
wide-researcher-1785976159-55fefc1aca99,1.878,28.678
reviewer-1785976159-0c339c9dd387,1.888,68.321
data-analyst-1785976159-f2bd87ef210f,1.915,65.126
deep-researcher-1785976159-02f117a4d8e1,1.926,77.394
wide-researcher-1785976159-43c9975a565e,1.936,47.154
reviewer-1785976159-5c689829a64e,1.946,63.988
data-analyst-1785976159-289612ab7f99,1.970,75.342
deep-researcher-1785976159-9c1704b893b3,1.980,86.406
wide-researcher-1785976159-02e23e491119,1.990,37.957
reviewer-1785976159-db5e4afb35e8,2.000,77.862
data-analyst-1785976159-ee39bd9a493b,2.026,63.252
deep-researcher-1785976159-6c25d8d718b5,2.036,29.223
wide-researcher-1785976159-0efbe930547f,2.047,42.496
reviewer-1785976159-48de720974e5,2.058,78.094
data-analyst-1785976159-d7c270e2c092,2.083,63.782
deep-researcher-1785976159-d01454748e79,2.093,82.654
wide-researcher-1785976159-0b186228af07,2.103,37.643
reviewer-1785976159-d9a7b51731ee,2.113,75.392
data-analyst-1785976159-506157232483,2.138,62.361
deep-researcher-1785976159-e119476ab4d0,2.153,82.702
wide-researcher-1785976159-e8cd9a1487f5,2.163,61.414
reviewer-1785976159-ac060979a970,2.170,68.448
data-analyst-1785976159-8ff46aab3eb3,2.195,75.549
deep-researcher-1785976159-d52111cb638d,2.208,37.830
wide-researcher-1785976159-def36d5a2256,2.217,41.724
reviewer-1785976159-2c62c21263bb,2.226,79.885
data-analyst-1785976159-07a42b5fd848,2.250,62.561
deep-researcher-1785976159-e526e9ae1471,2.260,82.028
wide-researcher-1785976159-66f889451bbf,2.269,59.614
reviewer-1785976159-bc9a1427d778,2.278,65.375
data-analyst-1785976159-174ac5014fae,2.299,64.903
deep-researcher-1785976159-20a92e5c18bc,2.313,38.421
wide-researcher-1785976159-649c653f1241,2.325,77.234
reviewer-1785976159-c458c6627f22,2.338,77.132
data-analyst-1785976159-32daeb5f793f,2.363,75.326
deep-researcher-1785976159-dc501bed1a59,2.373,29.615
wide-researcher-1785976159-ba087139c63e,2.383,46.092
reviewer-1785976159-bcdf20f72338,2.393,78.688
data-analyst-1785976159-5037357f4dad,2.414,75.872
deep-researcher-1785976159-1bf343ad6d37,2.427,37.814
wide-researcher-1785976159-86b7aaab12d2,2.437,78.994
reviewer-1785976159-97a931e1c9e0,2.447,74.588
data-analyst-1785976159-d90a4dd1a3de,2.468,75.246
deep-researcher-1785976159-618ea85cf4e3,2.481,82.215
wide-researcher-1785976159-55f3b208936f,2.491,38.923
reviewer-1785976159-29a97044a965,2.500,63.010
data-analyst-1785976160-de6fda827994,2.525,74.850
deep-researcher-1785976160-8cb3a05d03d8,2.535,47.688
wide-researcher-1785976160-b31cbf6140cd,2.544,68.679
reviewer-1785976160-2b5f4d043690,2.553,77.729
data-analyst-1785976160-02e692fefe93,2.578,74.635
deep-researcher-1785976160-470a24eefd83,2.587,38.627
wide-researcher-1785976160-ae795076c071,2.597,29.163
reviewer-1785976160-7b90b05d8537,2.607,73.448
data-analyst-1785976160-b46c94a97103,2.632,75.310
deep-researcher-1785976160-b2c5e2abec52,2.642,44.460
wide-researcher-1785976160-fb44a397d3b0,2.652,42.294
reviewer-1785976160-1a5dacfd17ed,2.662,74.731
data-analyst-1785976160-62d0a8f102f4,2.687,63.477
deep-researcher-1785976160-d0fb65efc6f9,2.697,42.859
wide-researcher-1785976160-ab60ccdfea5a,2.707,61.446
reviewer-1785976160-e73635672603,2.717,65.425
data-analyst-1785976160-319d155a0928,2.739,76.283
deep-researcher-1785976160-8faf6e513809,2.756,81.614
wide-researcher-1785976160-322c21063fc1,2.765,32.500
reviewer-1785976160-f11ed7a695bc,2.771,65.900
data-analyst-1785976160-5556fa607018,2.794,63.205
deep-researcher-1785976160-618b98720328,2.805,38.189
wide-researcher-1785976160-6f77c56172ff,2.815,66.474
reviewer-1785976160-4b8a3e41c9c4,2.824,78.078
data-analyst-1785976160-488fd28a9699,2.844,74.978
deep-researcher-1785976160-12b7f1349740,2.857,46.517
wide-researcher-1785976160-9b63d859148c,2.867,79.676
reviewer-1785976160-7e43b41134f1,2.877,74.834
data-analyst-1785976160-38f806740480,2.902,67.168
deep-researcher-1785976160-e9014ce69fb9,2.912,37.697
wide-researcher-1785976160-bbbb44339406,2.922,59.031
reviewer-1785976160-a0bb8a8b63d1,2.933,76.787
data-analyst-1785976160-24ef1d932a47,2.958,75.712
deep-researcher-1785976160-17f70b445319,2.965,79.176
wide-researcher-1785976160-8cecfd27f8f3,2.978,39.128
reviewer-1785976160-e3bbd29c2291,2.986,63.846
data-analyst-1785976160-9c9fc127c818,3.009,74.572
deep-researcher-1785976160-b0a636f1e680,3.020,24.585
wide-researcher-1785976160-8f96d4fbbbc3,3.032,29.846
reviewer-1785976160-84d96fe1f671,3.045,77.625
data-analyst-1785976160-a6e26a22d42e,3.069,76.590
deep-researcher-1785976160-4dbd0d74e9e3,3.078,32.777
wide-researcher-1785976160-cea44f1bf918,3.088,77.036
reviewer-1785976160-4d2e18390dd8,3.098,78.431
data-analyst-1785976160-fe2dc8437770,3.120,67.051
deep-researcher-1785976160-3f3e79f59386,3.133,47.085
wide-researcher-1785976160-010068df693d,3.143,81.826
reviewer-1785976160-0391ec56b6db,3.153,63.972
data-analyst-1785976160-cf3cc74af2f4,3.177,74.651
deep-researcher-1785976160-4c02090f26bf,3.186,38.287
wide-researcher-1785976160-3413aeab61a3,3.197,45.898
reviewer-1785976160-35b7dd74f85b,3.207,79.691
data-analyst-1785976160-45ec2539c08d,3.232,75.680
deep-researcher-1785976160-f69a9d8e31b5,3.242,27.905
wide-researcher-1785976160-30c1c74a5bdf,3.251,27.079
reviewer-1785976160-c004678a60f4,3.261,65.619
data-analyst-1785976160-210a84a91b60,3.286,64.806
deep-researcher-1785976160-ba9deb081c76,3.295,51.775
wide-researcher-1785976160-847c7fbc1616,3.304,37.542
reviewer-1785976160-6df84e7ec84f,3.312,63.878
data-analyst-1785976160-14c9bd87cde8,3.333,76.015
deep-researcher-1785976160-4d701be2101f,3.346,79.308
wide-researcher-1785976160-58480f520ed1,3.356,74.409
reviewer-1785976160-39570634a308,3.366,76.819
data-analyst-1785976160-b435e5e81355,3.395,75.445
