run_id,start_seconds,end_seconds
wide-researcher-1785977774-119c48c7dc32,1.816,32.081
deep-researcher-1785977774-4920e8db4686,1.826,68.710
reviewer-1785977774-22ccc15677d3,1.842,56.600
data-analyst-1785977774-4e73a43de701,1.867,57.772
wide-researcher-1785977774-39e16e29a6bf,1.878,61.349
deep-researcher-1785977774-82d2dc5385ac,1.892,32.133
reviewer-1785977774-8efeda44b51b,1.902,56.510
data-analyst-1785977774-b7626329fd49,1.927,57.848
wide-researcher-1785977774-799e4ff658ed,1.937,64.268
deep-researcher-1785977774-b83659f23c10,1.947,32.116
reviewer-1785977774-40066de8f102,1.957,56.584
data-analyst-1785977774-6cc9c7169331,1.982,57.801
wide-researcher-1785977774-75d7d9e31a53,1.992,67.465
deep-researcher-1785977774-bc7c48243ff0,2.002,68.888
reviewer-1785977774-ba1032ff6d5b,2.012,56.617
data-analyst-1785977774-df42786d4f39,2.037,55.630
wide-researcher-1785977774-8f902a40ab9d,2.047,32.198
deep-researcher-1785977774-41eec7cee69e,2.057,36.103
reviewer-1785977774-612b22568307,2.067,60.664
data-analyst-1785977774-102f94a41b23,2.092,55.646
wide-researcher-1785977774-f2b45674b515,2.102,32.310
deep-researcher-1785977774-2e9842d59584,2.112,32.247
reviewer-1785977774-17be9256b364,2.122,60.824
data-analyst-1785977774-ce4cf3c1bc6e,2.144,57.831
wide-researcher-1785977774-6b3502f401e1,2.153,36.051
deep-researcher-1785977774-d9b5bda1062e,2.164,32.279
reviewer-1785977774-b62bde709132,2.170,60.728
data-analyst-1785977774-1224617d0278,2.199,57.788
wide-researcher-1785977774-625726165255,2.205,32.342
deep-researcher-1785977774-6b9dd9823d65,2.218,67.719
reviewer-1785977774-cb1bc7e05f6a,2.226,56.549
data-analyst-1785977774-a2decc8214e7,2.246,55.662
wide-researcher-1785977775-3158e48316ad,2.256,32.326
deep-researcher-1785977775-989ac9f65e74,2.266,73.090
reviewer-1785977775-edc68502684f,2.275,60.776
data-analyst-1785977775-9222310ce919,2.299,57.982
wide-researcher-1785977775-bb97c7b7160b,2.308,32.371
deep-researcher-1785977775-8d7dc047e874,2.318,73.255
reviewer-1785977775-1bcf5eb6ef21,2.328,56.703
data-analyst-1785977775-a10a6c6fe3f6,2.352,57.865
wide-researcher-1785977775-9b60ec654b9c,2.362,36.172
deep-researcher-1785977775-49950ab8071b,2.376,67.749
reviewer-1785977775-0ac51ecfaa28,2.386,56.667
data-analyst-1785977775-d9865936c227,2.411,57.915
wide-researcher-1785977775-ba8662b7c776,2.421,42.351
deep-researcher-1785977775-58f8be9e86c8,2.431,36.296
reviewer-1785977775-32fbcd2ea36b,2.441,56.685
data-analyst-1785977775-f198cb81655a,2.466,57.933
wide-researcher-1785977775-acb8f9a36c56,2.476,36.242
deep-researcher-1785977775-cfdbf7f94471,2.486,36.365
reviewer-1785977775-f0c607fef94c,2.497,60.808
data-analyst-1785977775-cbebd394bd2b,2.522,58.072
wide-researcher-1785977775-342f90490d0c,2.532,32.803
deep-researcher-1785977775-9a5b7475099a,2.541,32.643
reviewer-1785977775-ffef400e6a66,2.550,56.759
data-analyst-1785977775-8d619523b458,2.574,55.696
wide-researcher-1785977775-fd6d3f9aa16b,2.585,32.929
deep-researcher-1785977775-f7760c57c8ec,2.595,32.676
reviewer-1785977775-aefeb18401f2,2.605,56.740
data-analyst-1785977775-30c991449683,2.627,57.999
wide-researcher-1785977775-4bb8b43ee36c,2.640,61.659
deep-researcher-1785977775-2021fbf3a8a2,2.650,32.739
reviewer-1785977775-2c0f1dc02b79,2.660,60.841
data-analyst-1785977775-ddd39f87b3ba,2.685,55.714
wide-researcher-1785977775-2602d12b1775,2.695,67.534
deep-researcher-1785977775-38adfaa3e923,2.705,51.255
reviewer-1785977775-aa423395de22,2.714,56.777
data-analyst-1785977775-13af3d804b62,2.739,55.750
wide-researcher-1785977775-7b4fb22aca2b,2.748,67.519
deep-researcher-1785977775-37cbe4d1e285,2.754,67.765
reviewer-1785977775-9ff418628306,2.769,61.084
data-analyst-1785977775-783239f0e0ae,2.789,58.016
wide-researcher-1785977775-8499019774e9,2.803,36.902
deep-researcher-1785977775-25d59d3dd98d,2.813,32.820
reviewer-1785977775-5a236eedea42,2.822,61.065
data-analyst-1785977775-cc29327a32db,2.846,58.110
wide-researcher-1785977775-60eab4b4d17a,2.856,32.961
deep-researcher-1785977775-f87d5a53978c,2.866,37.132
reviewer-1785977775-a3883be5e5ed,2.876,56.833
data-analyst-1785977775-e6b3d7a8958c,2.901,58.167
wide-researcher-1785977775-acd367f1ea65,2.910,33.056
deep-researcher-1785977775-c71924f3d281,2.919,67.781
reviewer-1785977775-4e18d00bcbe8,2.929,56.904
data-analyst-1785977775-0af39114d5f4,2.951,58.129
