elapsed_seconds,timestamp,cpu_percent,rss_mb,pss_mb,uss_mb,lazy_free_mb,live_mb,active_runs
0.021,2026-08-05T17:53:37,0.00,18.656,,,0.000,8.595,0
0.565,2026-08-05T17:53:38,0.00,18.656,,,0.000,8.595,0
1.115,2026-08-05T17:53:38,0.00,18.656,,,0.000,8.595,0
1.661,2026-08-05T17:53:39,0.00,18.656,,,0.000,8.595,0
2.200,2026-08-05T17:53:39,1.02,57.984,,,0.000,46.000,28
2.747,2026-08-05T17:53:40,1.47,107.750,,,0.000,97.000,67
3.285,2026-08-05T17:53:40,1.48,158.266,,,0.000,147.000,105
3.827,2026-08-05T17:53:41,1.86,200.969,,,0.000,189.000,143
4.367,2026-08-05T17:53:42,1.81,238.828,,,0.000,228.000,183
4.907,2026-08-05T17:53:42,1.93,277.016,,,0.000,266.000,222
5.457,2026-08-05T17:53:43,2.17,317.312,,,0.000,305.000,262
5.995,2026-08-05T17:53:43,2.14,356.656,,,0.000,345.000,303
6.550,2026-08-05T17:53:44,2.26,392.766,,,0.000,382.000,342
7.098,2026-08-05T17:53:44,2.63,434.922,,,0.109,422.891,383
7.654,2026-08-05T17:53:45,2.65,463.484,,,0.109,450.891,423
8.204,2026-08-05T17:53:45,2.80,478.906,,,0.000,466.000,462
8.751,2026-08-05T17:53:46,3.09,497.125,,,0.000,484.000,502
9.301,2026-08-05T17:53:46,2.85,510.109,,,0.516,496.484,540
9.845,2026-08-05T17:53:47,3.23,522.625,,,0.000,510.000,580
10.387,2026-08-05T17:53:48,3.47,538.312,,,0.719,524.281,622
10.937,2026-08-05T17:53:48,3.27,548.703,,,0.000,536.000,663
11.492,2026-08-05T17:53:49,3.86,559.078,,,0.234,545.766,705
12.045,2026-08-05T17:53:49,4.04,568.953,,,0.234,555.766,743
12.596,2026-08-05T17:53:50,4.02,576.484,,,0.156,562.844,784
13.150,2026-08-05T17:53:50,5.27,587.562,,,0.156,573.844,828
