elapsed_seconds,timestamp,cpu_percent,rss_mb,pss_mb,uss_mb,lazy_free_mb,live_mb,active_runs
0.020,2026-08-05T18:33:40,0.00,19.016,,,0.000,8.610,0
0.567,2026-08-05T18:33:40,0.00,19.016,,,0.000,8.610,0
1.125,2026-08-05T18:33:41,0.00,19.016,,,0.000,8.610,0
1.681,2026-08-05T18:33:41,0.00,19.016,,,0.000,8.610,0
2.222,2026-08-05T18:33:42,1.04,58.266,,,0.000,46.000,28
2.759,2026-08-05T18:33:42,1.48,112.219,,,0.000,101.000,70
3.323,2026-08-05T18:33:43,1.61,156.297,,,0.000,143.000,100
3.880,2026-08-05T18:33:44,1.89,165.156,,,4.422,142.578,100
4.430,2026-08-05T18:33:44,2.00,171.047,,,0.766,155.234,100
4.989,2026-08-05T18:33:45,1.58,173.938,,,7.609,144.391,100
5.546,2026-08-05T18:33:45,1.92,177.188,,,5.797,151.203,100
6.094,2026-08-05T18:33:46,2.16,179.859,,,6.219,153.781,100
6.660,2026-08-05T18:33:46,1.91,181.172,,,5.766,155.234,100
7.214,2026-08-05T18:33:47,1.68,183.312,,,5.266,158.734,100
7.775,2026-08-05T18:33:47,1.76,185.094,,,4.188,161.812,100
8.328,2026-08-05T18:33:48,1.59,186.297,,,4.266,163.734,100
8.880,2026-08-05T18:33:49,2.04,187.984,,,4.109,165.891,100
9.441,2026-08-05T18:33:49,1.52,188.922,,,4.031,166.969,100
9.997,2026-08-05T18:33:50,2.01,190.016,,,3.891,168.109,100
10.554,2026-08-05T18:33:50,1.73,191.016,,,3.406,169.594,100
11.098,2026-08-05T18:33:51,1.75,191.609,,,3.891,169.109,100
11.655,2026-08-05T18:33:51,1.99,193.047,,,3.094,172.906,100
12.209,2026-08-05T18:33:52,1.79,194.484,,,3.562,172.438,100
12.767,2026-08-05T18:33:52,1.52,195.156,,,3.406,173.594,100
13.317,2026-08-05T18:33:53,1.75,196.453,,,4.500,173.500,100
13.879,2026-08-05T18:33:54,1.80,197.328,,,3.859,175.141,100
14.432,2026-08-05T18:33:54,1.96,198.000,,,3.594,176.406,100
14.984,2026-08-05T18:33:55,1.79,198.641,,,3.859,176.141,100
15.542,2026-08-05T18:33:55,0.83,199.578,,,3.156,178.844,103
16.101,2026-08-05T18:33:56,1.85,201.234,,,1.594,183.406,112
16.659,2026-08-05T18:33:56,1.96,203.391,,,0.016,188.984,118
17.211,2026-08-05T18:33:57,1.80,204.609,,,0.047,189.953,133
17.770,2026-08-05T18:33:57,1.74,206.984,,,0.047,192.953,133
18.333,2026-08-05T18:33:58,1.81,210.000,,,1.594,192.406,133
18.890,2026-08-05T18:33:59,1.83,211.172,,,1.594,193.406,133
19.446,2026-08-05T18:33:59,1.88,211.844,,,3.688,190.312,133
20.008,2026-08-05T18:34:00,1.49,212.531,,,3.266,191.734,122
20.565,2026-08-05T18:34:00,2.02,213.250,,,5.641,187.359,109
21.117,2026-08-05T18:34:01,1.45,213.719,,,6.781,185.219,93
21.672,2026-08-05T18:34:01,1.73,213.953,,,6.188,186.812,77
22.230,2026-08-05T18:34:02,1.73,214.734,,,5.484,189.516,71
22.789,2026-08-05T18:34:02,1.88,215.469,,,4.516,191.484,71
23.346,2026-08-05T18:34:03,1.34,215.656,,,5.781,189.219,71
23.892,2026-08-05T18:34:04,1.91,216.094,,,4.734,192.266,69
24.455,2026-08-05T18:34:04,1.70,216.297,,,5.656,190.344,66
25.013,2026-08-05T18:34:05,1.84,216.906,,,4.484,193.516,62
25.569,2026-08-05T18:34:05,1.59,217.562,,,4.391,194.609,62
26.130,2026-08-05T18:34:06,0.57,217.609,,,5.266,192.734,62
26.692,2026-08-05T18:34:06,1.86,217.953,,,3.750,196.250,62
27.254,2026-08-05T18:34:07,1.59,218.312,,,4.516,194.484,62
27.815,2026-08-05T18:34:08,1.06,218.531,,,4.234,195.766,62
28.372,2026-08-05T18:34:08,1.37,218.891,,,4.906,194.094,62
28.943,2026-08-05T18:34:09,1.14,219.047,,,4.016,196.984,62
29.502,2026-08-05T18:34:09,1.38,219.781,,,4.672,196.328,62
30.063,2026-08-05T18:34:10,1.83,220.344,,,4.047,197.953,62
30.622,2026-08-05T18:34:10,0.49,220.594,,,5.094,195.906,61
31.181,2026-08-05T18:34:11,1.80,221.250,,,3.656,199.344,60
31.729,2026-08-05T18:34:11,1.66,221.578,,,3.969,199.031,60
32.293,2026-08-05T18:34:12,0.86,222.078,,,5.797,196.203,59
32.855,2026-08-05T18:34:13,1.37,222.781,,,4.297,199.703,59
33.413,2026-08-05T18:34:13,1.49,223.203,,,5.953,197.047,59
33.967,2026-08-05T18:34:14,1.24,223.422,,,5.250,198.750,59
34.512,2026-08-05T18:34:14,1.94,223.953,,,5.391,198.609,59
35.075,2026-08-05T18:34:15,0.71,224.188,,,4.969,200.031,59
35.641,2026-08-05T18:34:15,1.09,224.391,,,5.641,198.359,52
36.200,2026-08-05T18:34:16,0.82,224.828,,,5.344,199.656,50
36.753,2026-08-05T18:34:16,0.27,224.922,,,7.734,195.266,50
37.315,2026-08-05T18:34:17,0.67,225.031,,,6.906,197.094,47
37.881,2026-08-05T18:34:18,0.54,225.219,,,8.109,194.891,45
38.442,2026-08-05T18:34:18,0.94,225.219,,,7.484,195.516,45
39.003,2026-08-05T18:34:19,1.11,225.391,,,7.828,195.172,45
39.556,2026-08-05T18:34:19,0.85,225.672,,,7.422,196.578,45
40.117,2026-08-05T18:34:20,0.96,225.688,,,8.797,193.203,41
40.666,2026-08-05T18:34:20,1.04,225.781,,,8.203,194.797,34
41.213,2026-08-05T18:34:21,0.55,225.875,,,10.000,191.000,34
41.761,2026-08-05T18:34:21,1.02,226.047,,,11.000,189.000,34
42.315,2026-08-05T18:34:22,1.25,226.234,,,10.000,192.000,34
42.879,2026-08-05T18:34:23,0.41,226.234,,,11.000,189.000,34
43.450,2026-08-05T18:34:23,0.67,226.328,,,10.000,191.000,34
44.014,2026-08-05T18:34:24,0.79,226.391,,,11.000,190.000,34
44.569,2026-08-05T18:34:24,0.88,226.469,,,10.000,192.000,34
45.122,2026-08-05T18:34:25,0.82,226.656,,,11.000,190.000,34
45.685,2026-08-05T18:34:25,0.39,226.656,,,11.000,191.000,33
46.247,2026-08-05T18:34:26,1.08,226.750,,,12.000,188.000,25
46.809,2026-08-05T18:34:26,0.90,226.797,,,15.000,183.000,19
47.362,2026-08-05T18:34:27,0.20,226.797,,,14.000,184.000,19
47.926,2026-08-05T18:34:28,0.38,226.797,,,14.000,185.000,19
48.489,2026-08-05T18:34:28,1.18,226.938,,,13.000,186.000,18
49.055,2026-08-05T18:34:29,0.09,226.938,,,15.000,182.000,18
49.612,2026-08-05T18:34:29,0.29,226.938,,,14.000,184.000,18
50.169,2026-08-05T18:34:30,0.42,227.078,,,14.000,185.000,18
50.731,2026-08-05T18:34:30,0.14,227.078,,,15.000,183.000,18
51.293,2026-08-05T18:34:31,0.28,227.078,,,14.000,185.000,18
51.857,2026-08-05T18:34:32,0.07,227.078,,,15.000,182.000,18
52.421,2026-08-05T18:34:32,0.47,227.219,,,15.000,183.000,18
52.978,2026-08-05T18:34:33,0.93,227.375,,,14.000,184.000,18
53.542,2026-08-05T18:34:33,0.29,227.375,,,14.000,184.000,18
54.091,2026-08-05T18:34:34,0.26,227.422,,,15.000,183.000,16
54.657,2026-08-05T18:34:34,0.91,227.531,,,14.000,185.000,15
55.204,2026-08-05T18:34:35,0.18,227.531,,,16.000,182.000,15
55.763,2026-08-05T18:34:35,0.53,227.609,,,15.000,183.000,15
56.325,2026-08-05T18:34:36,0.17,227.609,,,16.000,181.000,15
56.888,2026-08-05T18:34:37,0.28,227.609,,,15.000,183.000,15
57.450,2026-08-05T18:34:37,0.51,227.703,,,15.000,183.000,15
57.993,2026-08-05T18:34:38,0.09,227.828,,,15.000,183.000,15
58.555,2026-08-05T18:34:38,0.16,227.953,,,16.000,182.000,15
59.114,2026-08-05T18:34:39,0.46,228.016,,,15.000,184.000,15
59.668,2026-08-05T18:34:39,0.23,228.016,,,16.000,181.000,14
60.222,2026-08-05T18:34:40,0.16,228.062,,,16.000,181.000,13
60.789,2026-08-05T18:34:40,0.36,228.109,,,18.000,178.000,11
61.353,2026-08-05T18:34:41,0.20,228.156,,,18.000,178.000,11
61.913,2026-08-05T18:34:42,0.50,228.156,,,17.000,179.000,11
62.473,2026-08-05T18:34:42,0.14,228.156,,,17.000,179.000,11
63.034,2026-08-05T18:34:43,0.11,228.156,,,18.000,178.000,11
63.596,2026-08-05T18:34:43,0.84,228.156,,,17.000,179.000,11
64.155,2026-08-05T18:34:44,0.03,228.156,,,18.000,177.000,11
64.718,2026-08-05T18:34:44,0.14,228.156,,,18.000,178.000,11
65.276,2026-08-05T18:34:45,0.40,228.203,,,18.000,177.000,11
65.825,2026-08-05T18:34:46,0.15,228.203,,,18.000,177.000,10
66.389,2026-08-05T18:34:46,0.23,228.266,,,18.000,177.000,9
66.949,2026-08-05T18:34:47,0.09,228.266,,,18.000,178.000,7
67.512,2026-08-05T18:34:47,0.04,228.266,,,18.000,178.000,7
68.074,2026-08-05T18:34:48,0.45,228.266,,,18.000,177.000,7
68.638,2026-08-05T18:34:48,0.15,228.266,,,18.000,178.000,7
69.200,2026-08-05T18:34:49,0.12,228.266,,,19.000,176.000,7
69.749,2026-08-05T18:34:49,0.33,228.266,,,19.000,176.000,7
70.313,2026-08-05T18:34:50,0.06,228.266,,,18.000,177.000,7
70.872,2026-08-05T18:34:51,0.21,228.266,,,19.000,176.000,7
71.435,2026-08-05T18:34:51,0.11,228.266,,,19.000,176.000,7
71.996,2026-08-05T18:34:52,0.04,228.266,,,19.000,176.000,7
72.552,2026-08-05T18:34:52,0.50,228.266,,,18.000,177.000,7
73.113,2026-08-05T18:34:53,0.11,228.266,,,18.000,177.000,7
73.674,2026-08-05T18:34:53,0.03,228.266,,,19.000,176.000,7
74.239,2026-08-05T18:34:54,0.48,228.266,,,18.000,177.000,7
74.811,2026-08-05T18:34:54,0.11,228.266,,,18.000,177.000,6
75.378,2026-08-05T18:34:55,0.25,228.281,,,20.000,174.000,3
75.946,2026-08-05T18:34:56,0.15,228.281,,,20.000,174.000,0
76.496,2026-08-05T18:34:56,0.00,228.281,,,20.000,174.000,0
77.068,2026-08-05T18:34:57,0.00,228.281,,,20.000,174.000,0
77.616,2026-08-05T18:34:57,0.00,228.281,,,20.000,174.000,0
78.170,2026-08-05T18:34:58,0.00,228.281,,,20.000,174.000,0
78.728,2026-08-05T18:34:58,0.00,228.281,,,20.000,174.000,0
79.290,2026-08-05T18:34:59,0.00,228.281,,,20.000,174.000,0
79.854,2026-08-05T18:35:00,0.00,228.281,,,20.000,174.000,0
80.417,2026-08-05T18:35:00,0.00,228.281,,,20.000,174.000,0
80.976,2026-08-05T18:35:01,0.00,228.281,,,20.000,174.000,0
81.527,2026-08-05T18:35:01,0.00,228.281,,,20.000,174.000,0
82.092,2026-08-05T18:35:02,0.00,228.281,,,20.000,174.000,0
82.655,2026-08-05T18:35:02,0.00,228.281,,,20.000,174.000,0
83.213,2026-08-05T18:35:03,0.00,228.281,,,20.000,174.000,0
83.773,2026-08-05T18:35:03,0.00,228.281,,,20.000,174.000,0
84.321,2026-08-05T18:35:04,0.16,226.172,,,21.000,170.000,0
84.886,2026-08-05T18:35:05,0.06,225.578,,,21.000,169.000,0
85.446,2026-08-05T18:35:05,0.23,223.797,,,83.000,44.000,0
86.007,2026-08-05T18:35:06,0.04,222.016,,,83.000,42.000,0
86.574,2026-08-05T18:35:06,0.00,222.016,,,83.000,42.000,0
87.132,2026-08-05T18:35:07,0.00,222.016,,,83.000,42.000,0
87.720,2026-08-05T18:35:07,0.00,222.016,,,83.000,42.000,0
88.287,2026-08-05T18:35:08,0.00,222.016,,,83.000,42.000,0
88.853,2026-08-05T18:35:09,0.00,222.016,,,83.000,42.000,0
89.413,2026-08-05T18:35:09,0.00,222.016,,,83.000,42.000,0
89.970,2026-08-05T18:35:10,0.01,222.016,,,83.000,42.000,0
90.531,2026-08-05T18:35:10,0.00,222.016,,,83.000,42.000,0
91.093,2026-08-05T18:35:11,0.00,222.016,,,83.000,42.000,0
91.652,2026-08-05T18:35:11,0.00,222.016,,,83.000,42.000,0
92.197,2026-08-05T18:35:12,0.00,222.016,,,83.000,42.000,0
92.754,2026-08-05T18:35:12,0.00,222.016,,,83.000,42.000,0
93.317,2026-08-05T18:35:13,0.00,222.016,,,83.000,42.000,0
93.879,2026-08-05T18:35:14,0.00,222.016,,,83.000,42.000,0
94.436,2026-08-05T18:35:14,0.00,222.016,,,83.000,42.000,0
94.994,2026-08-05T18:35:15,0.00,222.016,,,83.000,42.000,0
95.552,2026-08-05T18:35:15,0.00,222.016,,,83.000,42.000,0
96.112,2026-08-05T18:35:16,0.00,222.016,,,83.000,42.000,0
96.672,2026-08-05T18:35:16,0.00,222.016,,,83.000,42.000,0
97.232,2026-08-05T18:35:17,0.00,222.016,,,83.000,42.000,0
97.791,2026-08-05T18:35:17,0.00,222.016,,,83.000,42.000,0
98.354,2026-08-05T18:35:18,0.00,222.016,,,83.000,42.000,0
98.909,2026-08-05T18:35:19,0.00,222.016,,,83.000,42.000,0
99.471,2026-08-05T18:35:19,0.00,222.016,,,83.000,42.000,0
100.014,2026-08-05T18:35:20,0.00,222.016,,,83.000,42.000,0
100.574,2026-08-05T18:35:20,0.00,222.016,,,83.000,42.000,0
101.135,2026-08-05T18:35:21,0.00,222.016,,,83.000,42.000,0
101.696,2026-08-05T18:35:21,0.00,222.016,,,83.000,42.000,0
102.257,2026-08-05T18:35:22,0.00,222.016,,,83.000,42.000,0
102.800,2026-08-05T18:35:22,0.00,222.016,,,83.000,42.000,0
103.361,2026-08-05T18:35:23,0.00,222.016,,,83.000,42.000,0
103.921,2026-08-05T18:35:24,0.00,222.016,,,83.000,42.000,0
104.481,2026-08-05T18:35:24,0.00,222.016,,,83.000,42.000,0
105.036,2026-08-05T18:35:25,0.00,222.016,,,83.000,42.000,0
105.597,2026-08-05T18:35:25,0.00,222.016,,,83.000,42.000,0
106.157,2026-08-05T18:35:26,0.00,222.016,,,83.000,42.000,0
106.712,2026-08-05T18:35:26,0.00,222.016,,,83.000,42.000,0
107.268,2026-08-05T18:35:27,0.00,222.016,,,83.000,42.000,0
107.829,2026-08-05T18:35:28,0.00,222.016,,,83.000,42.000,0
108.390,2026-08-05T18:35:28,0.00,222.016,,,83.000,42.000,0
108.952,2026-08-05T18:35:29,0.00,222.016,,,83.000,42.000,0
109.513,2026-08-05T18:35:29,0.00,222.016,,,83.000,42.000,0
110.079,2026-08-05T18:35:30,0.00,222.016,,,83.000,42.000,0
110.633,2026-08-05T18:35:30,0.00,222.016,,,83.000,42.000,0
111.190,2026-08-05T18:35:31,0.00,222.016,,,83.000,42.000,0
111.749,2026-08-05T18:35:31,0.00,222.016,,,83.000,42.000,0
112.309,2026-08-05T18:35:32,0.00,222.016,,,83.000,42.000,0
112.864,2026-08-05T18:35:33,0.00,222.016,,,83.000,42.000,0
113.426,2026-08-05T18:35:33,0.00,222.016,,,83.000,42.000,0
113.989,2026-08-05T18:35:34,0.00,222.016,,,83.000,42.000,0
114.549,2026-08-05T18:35:34,0.00,222.016,,,83.000,42.000,0
115.102,2026-08-05T18:35:35,0.00,222.016,,,83.000,42.000,0
115.643,2026-08-05T18:35:35,0.00,222.016,,,83.000,42.000,0
116.204,2026-08-05T18:35:36,0.00,222.016,,,83.000,42.000,0
116.761,2026-08-05T18:35:36,0.00,222.016,,,83.000,42.000,0
117.322,2026-08-05T18:35:37,0.00,222.016,,,83.000,42.000,0
117.864,2026-08-05T18:35:38,0.00,222.016,,,83.000,42.000,0
118.421,2026-08-05T18:35:38,0.00,222.016,,,83.000,42.000,0
118.978,2026-08-05T18:35:39,0.00,222.016,,,83.000,42.000,0
119.538,2026-08-05T18:35:39,0.00,222.016,,,83.000,42.000,0
120.097,2026-08-05T18:35:40,0.01,222.016,,,83.000,42.000,0
120.655,2026-08-05T18:35:40,0.00,222.016,,,83.000,42.000,0
