run_id,start_seconds,end_seconds
wide-researcher-1785980143-aed0cb875388,1.843,74.051
deep-researcher-1785980143-a06506d74d5f,1.852,29.739
reviewer-1785980143-6cf8d0c8d9cd,1.864,81.074
data-analyst-1785980143-e53a60619a4d,1.889,73.062
wide-researcher-1785980143-3e11503629d5,1.902,47.573
deep-researcher-1785980143-5ba0e0789e45,1.910,28.567
reviewer-1785980143-dd9e447ae960,1.920,70.664
data-analyst-1785980143-1a1c5873ae48,1.945,55.505
wide-researcher-1785980143-bd55415e38ca,1.954,41.885
deep-researcher-1785980143-e3391862c7e4,1.964,84.914
reviewer-1785980143-eb63e896f989,1.974,80.326
data-analyst-1785980143-be89b2f7268e,1.998,49.994
wide-researcher-1785980143-cca8b581d04b,2.008,30.719
deep-researcher-1785980143-a7a7007ff507,2.018,92.736
reviewer-1785980143-cdfad19441f9,2.028,70.209
data-analyst-1785980143-f12b5de4a6c7,2.052,53.426
wide-researcher-1785980143-44523605fe97,2.062,55.700
deep-researcher-1785980143-54ed4809ee67,2.071,30.654
reviewer-1785980143-3b7b9d125b5b,2.080,72.424
data-analyst-1785980143-b300ae925795,2.102,70.990
wide-researcher-1785980143-0ab4f78da9b7,2.114,29.560
deep-researcher-1785980143-1852b85137f7,2.122,51.700
reviewer-1785980143-4dd754ebb741,2.131,74.622
data-analyst-1785980143-b0b0f86ecb56,2.153,67.569
wide-researcher-1785980143-0db73268a1b8,2.163,72.232
deep-researcher-1785980143-2de83e92148c,2.173,30.072
reviewer-1785980143-ee48c8e86a5d,2.182,71.577
data-analyst-1785980143-4747f51ac1e6,2.204,70.756
wide-researcher-1785980143-8c590eb267a9,2.212,29.191
deep-researcher-1785980143-7e14d5ec51cc,2.220,29.376
reviewer-1785980143-8edbef8a95b2,2.228,67.089
data-analyst-1785980143-8f592d12b9e3,2.249,73.284
wide-researcher-1785980143-01786bed5494,2.257,72.683
deep-researcher-1785980143-709e5d3f2231,2.266,83.160
reviewer-1785980143-6d2b42f0d471,2.275,68.144
data-analyst-1785980143-0ec15810e9f1,2.297,70.335
wide-researcher-1785980143-ffd60a141657,2.305,80.061
deep-researcher-1785980143-908ff221c120,2.313,84.553
reviewer-1785980143-3bb653d6a56d,2.322,80.377
data-analyst-1785980143-90bc7ae6b2d1,2.345,70.737
wide-researcher-1785980143-b65409cd93ff,2.355,49.437
