run_id,start_seconds,end_seconds
wide-researcher-1785981481-795227dfc1c5,1.835,53.324
reviewer-1785981481-6ab0bf062d06,1.844,114.772
deep-researcher-1785981481-dd2b96942e5c,1.873,39.668
data-analyst-1785981481-fda8cd3446bc,1.888,111.870
wide-researcher-1785981481-540924ce0e8c,1.898,109.920
reviewer-1785981481-e3706b76d2f6,1.908,103.246
deep-researcher-1785981481-52aed201cffe,1.933,128.037
data-analyst-1785981481-1ebefdbdf5c1,1.942,67.031
wide-researcher-1785981481-593a51f6bacf,1.952,88.936
reviewer-1785981481-6baadc2a6a1b,1.961,125.772
deep-researcher-1785981481-45e74e335329,1.987,55.909
data-analyst-1785981481-94e0ecb72cac,1.997,102.607
wide-researcher-1785981481-7c8a358a5604,2.007,49.711
reviewer-1785981481-e8e0d5e0e733,2.017,130.184
deep-researcher-1785981481-62336e029fbd,2.043,30.889
data-analyst-1785981481-183ae5d792d6,2.053,111.260
wide-researcher-1785981481-54c677552bec,2.064,38.232
reviewer-1785981481-6505349011f3,2.079,130.344
deep-researcher-1785981481-a8462c358ba6,2.104,41.366
data-analyst-1785981481-9b55df3141bf,2.114,111.332
wide-researcher-1785981481-3ace5f86f42c,2.123,51.787
reviewer-1785981481-8a3e93d53a8d,2.133,119.327
deep-researcher-1785981481-2cbd6f994900,2.157,38.569
data-analyst-1785981481-5349df79d459,2.167,119.654
wide-researcher-1785981481-a473838b1d18,2.177,50.388
reviewer-1785981481-ad00d96aff21,2.187,130.361
deep-researcher-1785981481-93515a74d13d,2.217,73.463
data-analyst-1785981481-a8474c8f0ec1,2.226,110.573
wide-researcher-1785981481-45cbb6b73f55,2.235,75.900
reviewer-1785981481-73bfd373934e,2.243,104.591
deep-researcher-1785981481-3401b5520207,2.267,75.458
data-analyst-1785981481-62417a26cfb3,2.277,109.967
wide-researcher-1785981482-01c2988c3785,2.292,103.187
reviewer-1785981482-663c771ab4f1,2.301,117.943
deep-researcher-1785981482-4c6e14df7dad,2.326,159.377
data-analyst-1785981482-fa4c8e6f6173,2.335,117.861
wide-researcher-1785981482-5ea0c3d80e2b,2.346,72.742
reviewer-1785981482-4213742a1e38,2.356,119.226
deep-researcher-1785981482-0c058b154bbd,2.381,54.429
data-analyst-1785981482-017e0ca4964b,2.391,111.672
wide-researcher-1785981482-6572b6418fb7,2.401,110.000
reviewer-1785981482-1de5a8f849bd,2.411,101.853
deep-researcher-1785981482-6d9ce72d28d7,2.435,51.480
data-analyst-1785981482-dced28e79ee4,2.443,115.348
wide-researcher-1785981482-20798090a538,2.453,110.032
reviewer-1785981482-70c8c996871b,2.463,134.230
deep-researcher-1785981482-544cc4eb7b21,2.487,89.579
data-analyst-1785981482-6331f42426e9,2.496,99.668
wide-researcher-1785981482-502b790e16ad,2.506,127.013
reviewer-1785981482-6ecf85eae3d3,2.517,93.658
deep-researcher-1785981482-0460f040acb4,2.546,68.594
data-analyst-1785981482-21776fe24724,2.555,109.793
wide-researcher-1785981482-383a4de3fcf3,2.565,66.017
reviewer-1785981482-10963c90af04,2.575,119.919
deep-researcher-1785981482-8b54426db4b1,2.600,88.953
data-analyst-1785981482-1a4fc5e97bb3,2.610,112.829
wide-researcher-1785981482-43251df717d0,2.625,127.483
reviewer-1785981482-cbfcba00a508,2.634,126.603
deep-researcher-1785981482-ad95afd60213,2.655,63.875
data-analyst-1785981482-095bff9d079e,2.668,90.235
wide-researcher-1785981482-400cf4a4e786,2.678,81.090
reviewer-1785981482-192e70dc209a,2.690,107.351
deep-researcher-1785981482-cef67062b723,2.716,64.265
data-analyst-1785981482-83a2bc9b59d2,2.725,103.231
wide-researcher-1785981482-345f1bc23e3e,2.735,49.318
reviewer-1785981482-e4895d13a297,2.744,107.601
deep-researcher-1785981482-8a3cb57e9d0e,2.763,54.956
data-analyst-1785981482-6f15a11c640d,2.771,117.657
wide-researcher-1785981482-85395e7c7887,2.781,89.621
reviewer-1785981482-30dcbb1e5651,2.790,114.754
deep-researcher-1785981482-589dc2fe9cf9,2.814,110.281
data-analyst-1785981482-dc8aa175d317,2.822,75.961
wide-researcher-1785981482-4a3508fd1e61,2.832,101.116
reviewer-1785981482-80bad8d3ac39,2.842,118.403
deep-researcher-1785981482-7c71e56722fe,2.866,61.419
data-analyst-1785981482-1ef642571db7,2.876,117.768
wide-researcher-1785981482-aad14ca68881,2.886,68.460
reviewer-1785981482-26061871bfff,2.896,111.887
deep-researcher-1785981482-bd375ac9ac87,2.917,66.414
data-analyst-1785981482-4b37fa42ece9,2.931,78.029
wide-researcher-1785981482-6982f08e6eb5,2.941,61.752
reviewer-1785981482-363761126359,2.951,111.441
deep-researcher-1785981482-9b06f2fc7a55,2.975,64.982
data-analyst-1785981482-c9b1bbf4bd56,2.985,116.780
wide-researcher-1785981482-b0f59279c71f,2.996,90.940
reviewer-1785981482-3f0f69b488c7,3.006,124.814
