elapsed_seconds,timestamp,cpu_percent,rss_mb,pss_mb,uss_mb,lazy_free_mb,live_mb,active_runs
0.024,2026-08-05T21:04:56,0.00,18.734,,,0.000,8.438,0
0.572,2026-08-05T21:04:56,0.00,18.734,,,0.000,8.438,0
1.110,2026-08-05T21:04:57,0.00,18.734,,,0.000,8.438,0
1.665,2026-08-05T21:04:57,0.00,18.734,,,0.000,8.438,0
2.205,2026-08-05T21:04:58,1.00,55.203,,,0.172,43.828,27
2.741,2026-08-05T21:04:58,1.53,112.250,,,0.078,100.922,70
3.282,2026-08-05T21:04:59,1.38,162.203,,,0.078,151.922,108
3.825,2026-08-05T21:04:59,1.82,207.672,,,1.109,192.891,148
4.366,2026-08-05T21:05:00,1.89,245.641,,,0.719,231.281,188
4.917,2026-08-05T21:05:00,1.98,285.359,,,0.422,272.578,228
5.456,2026-08-05T21:05:01,2.29,323.219,,,0.234,310.766,267
6.009,2026-08-05T21:05:02,2.23,360.141,,,0.016,348.984,308
6.556,2026-08-05T21:05:02,2.37,398.906,,,0.016,387.984,348
7.107,2026-08-05T21:05:03,2.61,441.562,,,0.797,428.203,390
7.651,2026-08-05T21:05:03,2.65,466.781,,,1.594,451.406,431
8.202,2026-08-05T21:05:04,2.86,484.328,,,0.891,470.109,471
8.746,2026-08-05T21:05:04,3.13,504.078,,,2.188,486.812,512
9.302,2026-08-05T21:05:05,2.86,516.578,,,0.375,503.625,555
9.842,2026-08-05T21:05:05,3.51,534.422,,,1.516,518.484,596
10.393,2026-08-05T21:05:06,3.62,549.344,,,0.969,535.031,639
10.941,2026-08-05T21:05:06,3.39,560.359,,,1.156,544.844,680
11.493,2026-08-05T21:05:07,4.11,569.891,,,0.188,556.812,720
12.050,2026-08-05T21:05:08,3.98,575.938,,,0.281,562.719,760
12.593,2026-08-05T21:05:08,4.52,583.203,,,0.781,568.219,796
13.147,2026-08-05T21:05:09,5.71,594.297,,,1.797,578.203,839
13.697,2026-08-05T21:05:09,6.36,602.297,,,0.266,588.734,882
14.257,2026-08-05T21:05:10,6.58,611.344,,,0.578,597.422,924
14.808,2026-08-05T21:05:10,7.78,621.828,,,1.016,606.984,966
15.363,2026-08-05T21:05:11,8.76,629.969,,,0.656,615.344,1000
15.916,2026-08-05T21:05:11,9.81,637.266,,,1.797,621.203,1000
16.470,2026-08-05T21:05:12,11.80,643.703,,,2.938,625.062,1000
17.019,2026-08-05T21:05:13,10.91,649.578,,,5.109,625.891,1000
17.565,2026-08-05T21:05:13,11.41,655.797,,,5.938,632.062,1000
18.120,2026-08-05T21:05:14,10.56,662.391,,,6.406,636.594,1000
18.669,2026-08-05T21:05:14,11.33,667.516,,,7.875,639.125,1000
19.220,2026-08-05T21:05:15,12.14,673.438,,,7.391,645.609,1000
19.770,2026-08-05T21:05:15,11.14,679.516,,,8.203,650.797,1000
20.314,2026-08-05T21:05:16,11.94,684.266,,,7.719,655.281,1000
20.864,2026-08-05T21:05:16,13.44,690.188,,,8.250,660.750,1000
21.419,2026-08-05T21:05:17,11.09,698.016,,,10.000,665.000,1000
21.972,2026-08-05T21:05:17,11.09,703.984,,,9.656,671.344,1000
22.527,2026-08-05T21:05:18,10.71,709.703,,,11.000,674.000,1000
23.089,2026-08-05T21:05:19,10.07,714.234,,,12.000,677.000,1000
23.638,2026-08-05T21:05:19,11.45,719.172,,,15.000,676.000,1000
24.190,2026-08-05T21:05:20,11.66,722.469,,,14.000,682.000,1000
24.742,2026-08-05T21:05:20,10.44,727.219,,,15.000,685.000,998
25.293,2026-08-05T21:05:21,11.66,731.531,,,15.000,688.000,996
25.843,2026-08-05T21:05:21,11.31,734.375,,,16.000,690.000,995
26.405,2026-08-05T21:05:22,9.78,737.406,,,15.000,694.000,994
26.956,2026-08-05T21:05:22,11.77,741.859,,,16.000,697.000,993
27.513,2026-08-05T21:05:23,10.35,745.125,,,15.000,702.000,992
28.057,2026-08-05T21:05:24,9.81,749.062,,,15.000,706.000,991
28.602,2026-08-05T21:05:24,10.01,752.625,,,14.000,711.000,990
29.151,2026-08-05T21:05:25,7.97,756.438,,,13.000,717.000,995
29.703,2026-08-05T21:05:25,9.76,760.547,,,12.000,724.000,992
30.260,2026-08-05T21:05:26,9.81,765.453,,,12.000,728.000,992
30.808,2026-08-05T21:05:26,8.66,768.531,,,12.000,731.000,990
31.372,2026-08-05T21:05:27,9.43,772.703,,,12.000,735.000,990
31.926,2026-08-05T21:05:27,7.66,777.125,,,11.000,742.000,990
32.477,2026-08-05T21:05:28,8.18,781.516,,,12.000,745.000,990
33.033,2026-08-05T21:05:29,8.14,786.891,,,11.000,752.000,996
33.588,2026-08-05T21:05:29,7.08,790.109,,,11.000,755.000,996
34.144,2026-08-05T21:05:30,7.72,794.109,,,10.000,761.000,994
34.700,2026-08-05T21:05:30,7.22,797.984,,,10.000,765.000,992
35.259,2026-08-05T21:05:31,6.80,802.688,,,8.359,772.641,989
35.814,2026-08-05T21:05:31,7.56,810.500,,,11.000,775.000,991
36.375,2026-08-05T21:05:32,6.96,815.062,,,12.000,778.000,993
36.925,2026-08-05T21:05:32,7.08,819.969,,,12.000,783.000,994
37.476,2026-08-05T21:05:33,7.89,825.656,,,16.000,781.000,979
38.031,2026-08-05T21:05:34,6.59,829.625,,,19.000,779.000,951
38.584,2026-08-05T21:05:34,6.38,832.891,,,21.000,778.000,936
39.139,2026-08-05T21:05:35,6.52,835.688,,,22.000,779.000,920
39.707,2026-08-05T21:05:35,5.39,837.750,,,22.000,781.000,901
40.263,2026-08-05T21:05:36,5.79,840.516,,,22.000,783.000,891
40.817,2026-08-05T21:05:36,5.30,843.266,,,21.000,788.000,878
41.380,2026-08-05T21:05:37,4.67,845.922,,,21.000,791.000,865
41.932,2026-08-05T21:05:37,5.49,849.922,,,17.000,802.000,851
42.496,2026-08-05T21:05:38,4.80,853.844,,,19.000,803.000,839
43.057,2026-08-05T21:05:39,4.54,856.391,,,18.000,808.000,837
43.608,2026-08-05T21:05:39,4.72,860.234,,,16.000,815.000,836
44.173,2026-08-05T21:05:40,4.26,864.438,,,15.000,821.000,833
44.726,2026-08-05T21:05:40,4.57,869.906,,,14.000,828.000,827
45.282,2026-08-05T21:05:41,4.50,873.844,,,13.000,835.000,823
45.845,2026-08-05T21:05:41,3.80,877.031,,,12.000,840.000,821
46.407,2026-08-05T21:05:42,4.17,881.125,,,11.000,847.000,823
46.968,2026-08-05T21:05:42,4.03,884.797,,,7.891,856.109,822
47.535,2026-08-05T21:05:43,3.82,888.484,,,6.484,862.516,823
48.095,2026-08-05T21:05:44,3.98,892.266,,,3.781,871.219,821
48.664,2026-08-05T21:05:44,3.58,896.812,,,2.906,878.094,826
49.231,2026-08-05T21:05:45,4.10,901.984,,,1.844,885.156,826
49.801,2026-08-05T21:05:45,4.12,906.469,,,1.781,890.219,827
50.368,2026-08-05T21:05:46,3.52,911.031,,,1.188,895.812,828
50.936,2026-08-05T21:05:46,3.82,915.984,,,0.828,902.172,830
51.497,2026-08-05T21:05:47,3.85,921.500,,,0.453,907.547,831
52.054,2026-08-05T21:05:48,3.75,926.359,,,1.547,910.453,832
52.629,2026-08-05T21:05:48,3.91,932.750,,,2.078,915.922,828
53.199,2026-08-05T21:05:49,3.54,936.031,,,2.719,917.281,830
53.757,2026-08-05T21:05:49,3.64,939.453,,,4.438,917.562,834
54.321,2026-08-05T21:05:50,3.42,943.078,,,5.203,919.797,836
54.887,2026-08-05T21:05:50,3.37,945.219,,,6.719,918.281,838
55.461,2026-08-05T21:05:51,3.67,948.297,,,10.000,916.000,839
56.025,2026-08-05T21:05:52,3.12,951.172,,,13.000,912.000,835
56.591,2026-08-05T21:05:52,3.38,953.641,,,17.000,907.000,803
57.167,2026-08-05T21:05:53,3.73,955.797,,,21.000,901.000,768
57.739,2026-08-05T21:05:53,3.16,957.688,,,24.000,896.000,732
58.311,2026-08-05T21:05:54,3.52,959.125,,,30.000,886.000,699
58.884,2026-08-05T21:05:54,3.38,960.844,,,35.000,877.000,674
59.449,2026-08-05T21:05:55,2.97,961.844,,,40.000,869.000,646
60.014,2026-08-05T21:05:56,3.34,962.781,,,47.000,856.000,629
60.577,2026-08-05T21:05:56,2.83,963.875,,,53.000,845.000,611
61.150,2026-08-05T21:05:57,2.77,964.281,,,60.000,831.000,585
61.729,2026-08-05T21:05:57,2.94,965.016,,,68.000,816.000,558
62.296,2026-08-05T21:05:58,2.54,965.500,,,75.000,803.000,536
62.873,2026-08-05T21:05:58,2.75,966.578,,,82.000,789.000,514
63.454,2026-08-05T21:05:59,2.60,967.375,,,86.000,782.000,505
64.028,2026-08-05T21:06:00,2.45,967.906,,,91.000,773.000,494
64.593,2026-08-05T21:06:00,2.94,968.547,,,95.000,766.000,485
65.169,2026-08-05T21:06:01,2.44,969.172,,,99.000,758.000,480
65.725,2026-08-05T21:06:01,2.68,969.406,,,105.000,746.000,471
66.291,2026-08-05T21:06:02,2.51,970.453,,,111.000,735.000,466
66.865,2026-08-05T21:06:02,2.26,970.578,,,113.000,732.000,466
67.434,2026-08-05T21:06:03,2.65,970.922,,,118.000,721.000,463
68.011,2026-08-05T21:06:04,2.66,971.359,,,120.000,718.000,462
68.581,2026-08-05T21:06:04,1.95,971.484,,,123.000,712.000,461
69.158,2026-08-05T21:06:05,2.41,971.797,,,125.000,709.000,461
69.734,2026-08-05T21:06:05,2.30,972.188,,,128.000,703.000,457
70.304,2026-08-05T21:06:06,2.25,972.312,,,132.000,695.000,456
70.867,2026-08-05T21:06:06,1.84,972.719,,,138.000,684.000,455
71.433,2026-08-05T21:06:07,1.86,972.859,,,141.000,678.000,450
72.007,2026-08-05T21:06:08,2.16,973.156,,,153.000,654.000,424
72.589,2026-08-05T21:06:08,2.31,973.156,,,166.000,627.000,390
73.165,2026-08-05T21:06:09,2.09,973.250,,,172.000,616.000,356
73.744,2026-08-05T21:06:09,2.12,973.266,,,174.000,612.000,323
74.319,2026-08-05T21:06:10,1.89,973.312,,,190.000,580.000,289
74.896,2026-08-05T21:06:10,1.74,973.359,,,191.000,578.000,253
75.459,2026-08-05T21:06:11,2.22,973.531,,,192.000,576.000,224
76.028,2026-08-05T21:06:12,1.34,973.656,,,193.000,575.000,202
76.608,2026-08-05T21:06:12,2.02,973.672,,,193.000,574.000,181
77.185,2026-08-05T21:06:13,1.69,973.734,,,195.000,570.000,169
77.769,2026-08-05T21:06:13,1.63,973.844,,,203.000,555.000,161
78.346,2026-08-05T21:06:14,1.99,973.859,,,205.000,550.000,157
78.927,2026-08-05T21:06:14,1.72,973.859,,,206.000,548.000,155
79.505,2026-08-05T21:06:15,1.80,974.656,,,208.000,546.000,144
80.081,2026-08-05T21:06:16,1.72,974.750,,,209.000,543.000,110
80.663,2026-08-05T21:06:16,1.81,974.766,,,209.000,543.000,90
81.226,2026-08-05T21:06:17,1.17,974.812,,,210.000,542.000,71
81.804,2026-08-05T21:06:17,1.86,974.812,,,211.000,540.000,62
82.385,2026-08-05T21:06:18,1.73,974.812,,,212.000,538.000,56
82.968,2026-08-05T21:06:18,1.66,974.812,,,212.000,537.000,47
83.552,2026-08-05T21:06:19,1.41,974.812,,,213.000,536.000,41
84.136,2026-08-05T21:06:20,0.97,974.812,,,213.000,535.000,38
84.720,2026-08-05T21:06:20,1.11,974.812,,,217.000,527.000,36
85.301,2026-08-05T21:06:21,0.85,974.812,,,218.000,525.000,33
85.885,2026-08-05T21:06:21,1.27,974.812,,,219.000,524.000,31
86.470,2026-08-05T21:06:22,0.25,974.812,,,219.000,523.000,31
87.050,2026-08-05T21:06:23,0.93,974.812,,,221.000,520.000,30
87.623,2026-08-05T21:06:23,0.99,974.812,,,223.000,515.000,26
88.203,2026-08-05T21:06:24,0.40,974.812,,,223.000,515.000,24
88.791,2026-08-05T21:06:24,0.82,974.812,,,223.000,515.000,21
89.387,2026-08-05T21:06:25,0.71,974.812,,,225.000,512.000,21
89.975,2026-08-05T21:06:25,0.44,974.812,,,225.000,511.000,20
90.557,2026-08-05T21:06:26,0.62,974.812,,,226.000,510.000,18
91.127,2026-08-05T21:06:27,0.35,974.828,,,226.000,509.000,18
91.709,2026-08-05T21:06:27,0.53,974.828,,,227.000,508.000,17
92.289,2026-08-05T21:06:28,0.66,974.828,,,227.000,508.000,16
92.874,2026-08-05T21:06:28,0.56,974.828,,,228.000,506.000,15
93.457,2026-08-05T21:06:29,0.56,974.828,,,228.000,506.000,15
94.032,2026-08-05T21:06:30,0.39,974.828,,,229.000,503.000,12
94.606,2026-08-05T21:06:30,0.25,974.828,,,230.000,502.000,10
95.183,2026-08-05T21:06:31,0.45,974.828,,,230.000,502.000,9
95.769,2026-08-05T21:06:31,0.21,974.828,,,231.000,499.000,7
96.351,2026-08-05T21:06:32,0.19,974.828,,,232.000,498.000,6
96.931,2026-08-05T21:06:32,0.23,974.828,,,232.000,498.000,5
97.516,2026-08-05T21:06:33,0.10,974.828,,,233.000,496.000,4
98.100,2026-08-05T21:06:34,0.23,974.828,,,234.000,494.000,2
98.683,2026-08-05T21:06:34,0.04,974.828,,,234.000,494.000,2
99.264,2026-08-05T21:06:35,0.19,974.828,,,234.000,494.000,2
99.851,2026-08-05T21:06:35,0.03,974.859,,,234.000,494.000,2
100.428,2026-08-05T21:06:36,0.00,974.859,,,234.000,494.000,2
101.004,2026-08-05T21:06:37,0.28,974.859,,,235.000,492.000,1
101.586,2026-08-05T21:06:37,0.00,974.859,,,235.000,492.000,1
102.170,2026-08-05T21:06:38,0.00,974.859,,,235.000,492.000,1
102.754,2026-08-05T21:06:38,0.05,974.859,,,236.000,490.000,0
103.339,2026-08-05T21:06:39,0.00,974.859,,,236.000,490.000,0
103.921,2026-08-05T21:06:39,0.00,974.859,,,236.000,490.000,0
104.497,2026-08-05T21:06:40,0.06,974.594,,,244.000,473.000,0
105.083,2026-08-05T21:06:41,0.34,971.562,,,359.000,240.000,0
105.662,2026-08-05T21:06:41,0.12,969.719,,,415.000,126.000,0
106.219,2026-08-05T21:06:42,0.39,966.859,,,491.000,0.000,0
106.782,2026-08-05T21:06:42,0.28,964.781,,,549.000,0.000,0
107.361,2026-08-05T21:06:43,0.12,964.188,,,567.000,0.000,0
107.939,2026-08-05T21:06:43,0.32,962.406,,,621.000,0.000,0
108.516,2026-08-05T21:06:44,0.06,961.812,,,639.000,0.000,0
109.090,2026-08-05T21:06:45,0.00,961.812,,,639.000,0.000,0
109.655,2026-08-05T21:06:45,0.17,960.562,,,678.000,0.000,0
110.230,2026-08-05T21:06:46,0.00,960.562,,,678.000,0.000,0
110.809,2026-08-05T21:06:46,0.11,959.969,,,703.000,0.000,0
111.386,2026-08-05T21:06:47,0.04,959.312,,,718.000,0.000,0
111.965,2026-08-05T21:06:47,0.00,959.312,,,718.000,0.000,0
112.541,2026-08-05T21:06:48,0.09,958.719,,,735.000,0.000,0
113.112,2026-08-05T21:06:49,0.00,958.719,,,735.000,0.000,0
113.689,2026-08-05T21:06:49,0.00,958.719,,,735.000,0.000,0
114.268,2026-08-05T21:06:50,0.00,958.719,,,735.000,0.000,0
114.857,2026-08-05T21:06:50,0.00,958.719,,,735.000,0.000,0
115.422,2026-08-05T21:06:51,0.00,958.719,,,735.000,0.000,0
115.989,2026-08-05T21:06:52,0.00,958.719,,,735.000,0.000,0
116.568,2026-08-05T21:06:52,0.00,958.719,,,735.000,0.000,0
117.139,2026-08-05T21:06:53,0.00,958.719,,,735.000,0.000,0
117.715,2026-08-05T21:06:53,0.00,958.719,,,735.000,0.000,0
118.291,2026-08-05T21:06:54,0.00,958.719,,,735.000,0.000,0
118.868,2026-08-05T21:06:54,0.00,958.719,,,735.000,0.000,0
119.446,2026-08-05T21:06:55,0.00,958.719,,,735.000,0.000,0
120.024,2026-08-05T21:06:56,0.01,958.719,,,735.000,0.000,0
120.602,2026-08-05T21:06:56,0.00,958.719,,,735.000,0.000,0
121.163,2026-08-05T21:06:57,0.00,958.719,,,735.000,0.000,0
121.729,2026-08-05T21:06:57,0.00,958.719,,,735.000,0.000,0
122.302,2026-08-05T21:06:58,0.00,958.719,,,735.000,0.000,0
122.878,2026-08-05T21:06:58,0.00,958.719,,,735.000,0.000,0
123.455,2026-08-05T21:06:59,0.00,958.719,,,735.000,0.000,0
124.031,2026-08-05T21:07:00,0.00,958.719,,,735.000,0.000,0
124.598,2026-08-05T21:07:00,0.00,958.719,,,735.000,0.000,0
125.171,2026-08-05T21:07:01,0.00,958.719,,,735.000,0.000,0
125.748,2026-08-05T21:07:01,0.00,958.719,,,735.000,0.000,0
126.325,2026-08-05T21:07:02,0.00,958.719,,,735.000,0.000,0
126.905,2026-08-05T21:07:02,0.00,958.719,,,735.000,0.000,0
127.483,2026-08-05T21:07:03,0.00,958.719,,,735.000,0.000,0
128.051,2026-08-05T21:07:04,0.00,958.719,,,735.000,0.000,0
128.628,2026-08-05T21:07:04,0.00,958.719,,,735.000,0.000,0
129.205,2026-08-05T21:07:05,0.00,958.719,,,735.000,0.000,0
129.778,2026-08-05T21:07:05,0.00,958.719,,,735.000,0.000,0
130.347,2026-08-05T21:07:06,0.00,958.719,,,735.000,0.000,0
130.912,2026-08-05T21:07:06,0.00,958.719,,,735.000,0.000,0
131.492,2026-08-05T21:07:07,0.00,958.719,,,735.000,0.000,0
132.069,2026-08-05T21:07:08,0.00,958.719,,,735.000,0.000,0
132.646,2026-08-05T21:07:08,0.00,958.719,,,735.000,0.000,0
133.224,2026-08-05T21:07:09,0.00,958.719,,,735.000,0.000,0
133.802,2026-08-05T21:07:09,0.00,958.719,,,735.000,0.000,0
134.377,2026-08-05T21:07:10,0.00,958.719,,,735.000,0.000,0
134.956,2026-08-05T21:07:10,0.00,958.719,,,735.000,0.000,0
135.535,2026-08-05T21:07:11,0.00,958.719,,,735.000,0.000,0
136.109,2026-08-05T21:07:12,0.00,958.719,,,735.000,0.000,0
136.675,2026-08-05T21:07:12,0.00,958.719,,,735.000,0.000,0
137.245,2026-08-05T21:07:13,0.00,958.719,,,735.000,0.000,0
137.823,2026-08-05T21:07:13,0.00,958.719,,,735.000,0.000,0
138.399,2026-08-05T21:07:14,0.00,958.719,,,735.000,0.000,0
138.972,2026-08-05T21:07:14,0.00,958.719,,,735.000,0.000,0
139.549,2026-08-05T21:07:15,0.00,958.719,,,735.000,0.000,0
140.131,2026-08-05T21:07:16,0.00,958.719,,,735.000,0.000,0
140.704,2026-08-05T21:07:16,0.00,958.719,,,735.000,0.000,0
141.283,2026-08-05T21:07:17,0.00,958.719,,,735.000,0.000,0
141.860,2026-08-05T21:07:17,0.00,958.719,,,735.000,0.000,0
142.437,2026-08-05T21:07:18,0.00,958.719,,,735.000,0.000,0
142.993,2026-08-05T21:07:19,0.00,958.719,,,735.000,0.000,0
143.567,2026-08-05T21:07:19,0.00,958.719,,,735.000,0.000,0
144.144,2026-08-05T21:07:20,0.00,958.719,,,735.000,0.000,0
144.720,2026-08-05T21:07:20,0.00,958.719,,,735.000,0.000,0
145.296,2026-08-05T21:07:21,0.00,958.719,,,735.000,0.000,0
