run_id,start_seconds,end_seconds
wide-researcher-1786003250-d128687981d5,1.837,47.177
deep-researcher-1786003250-c590ebd0608f,1.846,19.962
data-analyst-1786003250-593289196e33,1.863,39.637
reviewer-1786003250-444bb89775b5,1.873,36.635
wide-researcher-1786003250-29c31ce88991,1.908,53.273
deep-researcher-1786003250-26dda94a6d02,1.920,65.352
data-analyst-1786003250-980806ab6950,1.929,39.698
reviewer-1786003250-6e0bf448238d,1.942,45.775
wide-researcher-1786003250-76e96bb32a7c,1.969,20.095
deep-researcher-1786003250-41299318c221,1.977,23.910
data-analyst-1786003250-4d1329cfbd89,1.986,39.723
reviewer-1786003250-2b46fa0ae188,1.995,45.816
wide-researcher-1786003250-139ed4a48ea4,2.020,59.413
deep-researcher-1786003250-57915bc177d9,2.030,20.341
data-analyst-1786003250-71c656156bd3,2.039,39.795
reviewer-1786003250-54509747f7f9,2.049,45.860
wide-researcher-1786003250-42505fa1ebb3,2.074,20.435
deep-researcher-1786003250-5ff7d07acd04,2.083,20.520
data-analyst-1786003250-bb319f7a5a3e,2.093,39.829
reviewer-1786003250-06d7b7902bd8,2.100,45.935
wide-researcher-1786003250-86ab1c5fc75b,2.128,47.442
deep-researcher-1786003250-edbe504e2171,2.135,24.056
data-analyst-1786003250-bba86dd6e58f,2.147,35.395
reviewer-1786003250-485a7827910c,2.156,36.929
wide-researcher-1786003250-5872b2b248c7,2.180,24.110
deep-researcher-1786003250-083f55f58fbd,2.189,59.561
data-analyst-1786003250-94fba5af3f23,2.198,35.442
reviewer-1786003250-970998fba0eb,2.207,36.949
wide-researcher-1786003250-b9d38e6f8e3f,2.227,20.677
deep-researcher-1786003250-ea095de19c90,2.235,59.613
data-analyst-1786003250-7fcba60ad66e,2.245,40.004
reviewer-1786003250-0ae80e3b4474,2.254,36.977
wide-researcher-1786003250-6924bee4d95e,2.274,47.578
deep-researcher-1786003250-d6471f17f4bb,2.285,20.813
data-analyst-1786003250-5cfa2433a75e,2.294,35.561
reviewer-1786003250-66e985b4e35b,2.302,37.029
wide-researcher-1786003250-a6020e9703de,2.325,20.865
deep-researcher-1786003250-249b0f2156e9,2.335,74.834
data-analyst-1786003250-da47ddfd671b,2.345,35.605
reviewer-1786003250-54aaa8409d7f,2.354,46.157
wide-researcher-1786003250-d2c241bf5d49,2.378,20.919
deep-researcher-1786003250-124a0828af1d,2.388,24.367
data-analyst-1786003250-0a9b47f11bf1,2.395,40.165
reviewer-1786003250-de5507b5516e,2.408,46.226
wide-researcher-1786003250-1beea2cf54d6,2.431,31.159
deep-researcher-1786003250-c045c699aca6,2.441,31.143
data-analyst-1786003250-27dcc76e6b16,2.451,40.210
reviewer-1786003250-c3d2999f3c7f,2.461,46.247
wide-researcher-1786003250-4219715462c5,2.486,31.240
