elapsed_seconds,timestamp,cpu_percent,rss_mb,pss_mb,uss_mb,footprint_mb,lazy_free_mb,live_mb,active_runs
0.020,2026-08-06T00:52:52,0.00,18.797,,,8.548,0.000,8.548,0
0.579,2026-08-06T00:52:52,0.00,18.797,,,8.548,0.000,8.548,0
1.137,2026-08-06T00:52:53,0.00,18.797,,,8.548,0.000,8.548,0
1.685,2026-08-06T00:52:53,0.00,18.797,,,8.548,0.000,8.548,0
2.249,2026-08-06T00:52:54,0.51,36.922,,,24.000,0.047,23.953,10
2.801,2026-08-06T00:52:54,0.00,36.922,,,24.000,0.047,23.953,10
3.346,2026-08-06T00:52:55,0.00,36.922,,,24.000,0.047,23.953,10
3.900,2026-08-06T00:52:56,0.39,41.812,,,25.000,2.156,22.844,10
4.434,2026-08-06T00:52:56,0.00,41.812,,,25.000,2.156,22.844,10
4.980,2026-08-06T00:52:57,0.27,42.656,,,26.000,2.406,23.594,10
5.540,2026-08-06T00:52:57,0.14,42.938,,,27.000,1.797,25.203,10
6.099,2026-08-06T00:52:58,0.00,42.938,,,27.000,1.797,25.203,10
6.652,2026-08-06T00:52:58,0.65,43.797,,,27.000,1.719,25.281,10
7.209,2026-08-06T00:52:59,0.00,43.797,,,27.000,1.719,25.281,10
7.761,2026-08-06T00:52:59,0.00,43.797,,,27.000,1.719,25.281,10
8.302,2026-08-06T00:53:00,0.45,44.438,,,28.000,1.703,26.297,10
8.844,2026-08-06T00:53:01,0.00,44.438,,,28.000,1.703,26.297,10
9.400,2026-08-06T00:53:01,0.00,44.438,,,28.000,1.703,26.297,10
9.948,2026-08-06T00:53:02,0.24,44.781,,,28.000,1.656,26.344,10
10.497,2026-08-06T00:53:02,0.00,44.781,,,28.000,1.656,26.344,10
11.048,2026-08-06T00:53:03,0.41,45.094,,,29.000,1.422,27.578,10
11.577,2026-08-06T00:53:03,0.14,45.297,,,29.000,1.422,27.578,10
12.123,2026-08-06T00:53:04,0.00,45.297,,,29.000,1.422,27.578,10
12.683,2026-08-06T00:53:04,0.49,45.859,,,30.000,1.656,28.344,10
13.219,2026-08-06T00:53:05,0.00,45.859,,,30.000,1.656,28.344,10
13.771,2026-08-06T00:53:05,0.00,45.859,,,30.000,1.656,28.344,10
14.332,2026-08-06T00:53:06,0.54,46.000,,,30.000,1.234,28.766,10
14.887,2026-08-06T00:53:07,0.00,46.000,,,30.000,1.234,28.766,10
15.444,2026-08-06T00:53:07,0.00,46.000,,,30.000,1.234,28.766,10
16.002,2026-08-06T00:53:08,0.57,47.625,,,32.000,0.828,31.172,16
16.562,2026-08-06T00:53:08,0.00,47.625,,,32.000,0.828,31.172,16
17.102,2026-08-06T00:53:09,0.55,48.562,,,33.000,0.859,32.141,16
17.659,2026-08-06T00:53:09,0.22,48.562,,,33.000,0.859,32.141,16
18.195,2026-08-06T00:53:10,0.00,48.562,,,33.000,0.859,32.141,16
18.751,2026-08-06T00:53:10,1.04,49.047,,,33.000,1.406,31.594,7
19.314,2026-08-06T00:53:11,0.10,49.047,,,33.000,1.406,31.594,7
19.873,2026-08-06T00:53:12,0.00,49.047,,,33.000,1.406,31.594,7
20.425,2026-08-06T00:53:12,0.41,49.250,,,33.000,1.188,31.812,7
20.981,2026-08-06T00:53:13,0.00,49.250,,,33.000,1.188,31.812,7
21.524,2026-08-06T00:53:13,0.00,49.250,,,33.000,1.109,31.891,7
22.081,2026-08-06T00:53:14,0.21,49.344,,,33.000,1.047,31.953,7
22.641,2026-08-06T00:53:14,0.00,49.344,,,33.000,1.047,31.953,7
23.181,2026-08-06T00:53:15,0.39,49.422,,,34.000,1.094,32.906,6
23.729,2026-08-06T00:53:15,0.00,49.422,,,34.000,1.094,32.906,6
24.286,2026-08-06T00:53:16,0.00,49.422,,,34.000,1.094,32.906,6
24.847,2026-08-06T00:53:17,0.44,49.500,,,34.000,1.062,32.938,6
25.405,2026-08-06T00:53:17,0.00,49.500,,,34.000,1.062,32.938,6
25.959,2026-08-06T00:53:18,0.00,49.500,,,34.000,1.062,32.938,6
26.519,2026-08-06T00:53:18,0.23,49.672,,,34.000,1.156,32.844,6
27.074,2026-08-06T00:53:19,0.00,49.672,,,34.000,1.156,32.844,6
27.625,2026-08-06T00:53:19,0.20,49.734,,,34.000,1.156,32.844,6
28.158,2026-08-06T00:53:20,0.11,49.797,,,34.000,1.156,32.844,6
28.714,2026-08-06T00:53:20,0.00,49.797,,,34.000,1.156,32.844,6
29.272,2026-08-06T00:53:21,0.61,49.984,,,34.000,1.219,32.781,6
29.832,2026-08-06T00:53:21,0.00,49.984,,,34.000,1.219,32.781,6
30.385,2026-08-06T00:53:22,0.01,49.984,,,34.000,1.219,32.781,6
30.939,2026-08-06T00:53:23,0.55,50.203,,,34.000,1.281,32.719,6
31.480,2026-08-06T00:53:23,0.00,50.203,,,34.000,1.281,32.719,6
32.030,2026-08-06T00:53:24,0.00,50.203,,,34.000,1.281,32.719,6
32.590,2026-08-06T00:53:24,0.21,50.406,,,34.000,1.312,32.688,6
33.149,2026-08-06T00:53:25,0.00,50.406,,,34.000,1.312,32.688,6
33.707,2026-08-06T00:53:25,0.38,50.609,,,35.000,1.266,33.734,6
34.261,2026-08-06T00:53:26,0.13,50.672,,,35.000,1.266,33.734,6
34.819,2026-08-06T00:53:26,0.00,50.672,,,35.000,1.266,33.734,6
35.374,2026-08-06T00:53:27,0.38,50.734,,,35.000,1.109,33.891,6
35.931,2026-08-06T00:53:28,0.00,50.734,,,35.000,1.109,33.891,6
36.472,2026-08-06T00:53:28,0.00,50.734,,,35.000,1.109,33.891,6
37.030,2026-08-06T00:53:29,0.18,50.797,,,35.000,1.297,33.703,5
37.589,2026-08-06T00:53:29,0.00,50.797,,,35.000,1.297,33.703,5
38.145,2026-08-06T00:53:30,0.00,50.797,,,35.000,1.328,33.672,5
38.706,2026-08-06T00:53:30,0.14,50.891,,,35.000,1.344,33.656,5
39.266,2026-08-06T00:53:31,0.00,50.891,,,35.000,1.344,33.656,5
39.820,2026-08-06T00:53:31,0.45,50.891,,,35.000,1.438,33.562,3
40.379,2026-08-06T00:53:32,0.00,50.891,,,35.000,1.438,33.562,3
40.932,2026-08-06T00:53:33,0.00,50.891,,,35.000,1.438,33.562,3
41.491,2026-08-06T00:53:33,0.32,50.891,,,35.000,1.469,33.531,3
42.041,2026-08-06T00:53:34,0.00,50.891,,,35.000,1.469,33.531,3
42.600,2026-08-06T00:53:34,0.00,50.891,,,35.000,1.469,33.531,3
43.157,2026-08-06T00:53:35,0.07,50.891,,,35.000,1.469,33.531,3
43.713,2026-08-06T00:53:35,0.00,50.891,,,35.000,1.469,33.531,3
44.272,2026-08-06T00:53:36,0.24,50.906,,,35.000,1.469,33.531,3
44.833,2026-08-06T00:53:36,0.01,50.906,,,35.000,1.469,33.531,3
45.393,2026-08-06T00:53:37,0.00,50.906,,,35.000,1.469,33.531,3
45.956,2026-08-06T00:53:38,0.30,50.906,,,34.000,1.734,32.266,2
46.514,2026-08-06T00:53:38,0.00,50.906,,,34.000,1.734,32.266,2
47.074,2026-08-06T00:53:39,0.00,50.906,,,34.000,1.734,32.266,2
47.632,2026-08-06T00:53:39,0.16,50.906,,,34.000,1.719,32.281,2
48.186,2026-08-06T00:53:40,0.00,50.906,,,34.000,1.719,32.281,2
48.745,2026-08-06T00:53:40,0.01,50.906,,,34.000,1.719,32.281,2
49.294,2026-08-06T00:53:41,0.05,50.906,,,34.000,1.766,32.234,2
49.853,2026-08-06T00:53:42,0.00,50.906,,,34.000,1.766,32.234,2
50.412,2026-08-06T00:53:42,0.16,50.953,,,34.000,1.734,32.266,2
50.968,2026-08-06T00:53:43,0.00,50.953,,,34.000,1.734,32.266,2
51.514,2026-08-06T00:53:43,0.00,50.953,,,34.000,1.734,32.266,2
52.071,2026-08-06T00:53:44,0.28,50.953,,,34.000,1.797,32.203,2
52.629,2026-08-06T00:53:44,0.00,50.953,,,34.000,1.797,32.203,2
53.185,2026-08-06T00:53:45,0.00,50.953,,,34.000,1.797,32.203,2
53.737,2026-08-06T00:53:45,0.09,50.953,,,34.000,1.859,32.141,1
54.292,2026-08-06T00:53:46,0.00,50.953,,,34.000,1.859,32.141,1
54.848,2026-08-06T00:53:47,0.03,50.953,,,34.000,1.828,32.172,1
55.403,2026-08-06T00:53:47,0.00,50.953,,,34.000,1.828,32.172,1
55.963,2026-08-06T00:53:48,0.00,50.953,,,34.000,1.828,32.172,1
56.524,2026-08-06T00:53:48,0.04,50.953,,,34.000,1.828,32.172,1
57.080,2026-08-06T00:53:49,0.00,50.953,,,34.000,1.828,32.172,1
57.636,2026-08-06T00:53:49,0.00,50.953,,,34.000,1.828,32.172,1
58.191,2026-08-06T00:53:50,0.04,50.953,,,34.000,1.938,32.062,1
58.749,2026-08-06T00:53:50,0.00,50.953,,,34.000,1.938,32.062,1
59.308,2026-08-06T00:53:51,0.00,50.953,,,34.000,1.953,32.047,1
59.866,2026-08-06T00:53:52,0.08,50.953,,,34.000,1.953,32.047,1
