run_id,start_seconds,end_seconds
deep-researcher-1786006456-69d4fda1f734,1.823,179.927
reviewer-1786006456-d78e6deda3de,1.833,205.185
wide-researcher-1786006456-56e8a079bc0d,1.857,222.962
data-analyst-1786006456-e9e0fc76b3de,1.872,237.810
deep-researcher-1786006456-7a8ae7d7a70b,1.881,152.882
reviewer-1786006456-ebb60aad86ad,1.892,198.911
wide-researcher-1786006456-ac08ecc8aea9,1.917,159.468
data-analyst-1786006456-bf04a0737a50,1.927,249.888
deep-researcher-1786006456-1b907fca94cf,1.936,100.811
reviewer-1786006456-359fdf547da6,1.945,222.605
wide-researcher-1786006456-a87b5a5df6ec,1.970,204.377
data-analyst-1786006456-00f3b2da7006,1.983,244.305
deep-researcher-1786006456-5a748d425fa6,1.994,60.725
reviewer-1786006456-56403c9a4a6c,2.003,216.078
wide-researcher-1786006456-399006fe5419,2.023,159.635
data-analyst-1786006456-01763ad85352,2.033,234.474
deep-researcher-1786006456-f6ad6dbae350,2.043,92.359
reviewer-1786006456-87214ec521c6,2.058,253.038
wide-researcher-1786006456-e4bfc66f0025,2.082,106.458
data-analyst-1786006456-600489363b45,2.092,207.167
deep-researcher-1786006456-1ca3eda56b6e,2.102,122.217
reviewer-1786006456-161a309f0510,2.112,234.396
wide-researcher-1786006456-788751dc193d,2.137,95.808
data-analyst-1786006456-b1c158757ded,2.147,245.831
deep-researcher-1786006456-1128698c5fdf,2.161,131.114
reviewer-1786006456-d17d622443b5,2.171,203.635
wide-researcher-1786006456-9817fe6f0eb2,2.196,123.374
data-analyst-1786006456-fa45065642e7,2.206,240.476
deep-researcher-1786006456-e5c798cecb84,2.220,113.071
reviewer-1786006457-ea86f5aa9c05,2.229,244.532
wide-researcher-1786006457-4bad3c98d14b,2.249,257.289
data-analyst-1786006457-ed7bd944913a,2.259,237.652
deep-researcher-1786006457-fa59b1ed026d,2.269,63.205
reviewer-1786006457-087116d13fe1,2.279,254.356
wide-researcher-1786006457-7fdb71caefb7,2.302,245.902
data-analyst-1786006457-04a6afd8b0c5,2.316,231.687
deep-researcher-1786006457-e2c0949a38c9,2.325,160.659
reviewer-1786006457-0163b6aa84b0,2.335,231.667
wide-researcher-1786006457-554aaa7046d0,2.355,185.398
data-analyst-1786006457-1489dca93cc2,2.364,250.484
deep-researcher-1786006457-2613225a824f,2.373,119.962
reviewer-1786006457-cdf40814810f,2.383,200.998
wide-researcher-1786006457-8e4300899a90,2.402,180.475
data-analyst-1786006457-87a1fececf75,2.410,243.736
deep-researcher-1786006457-51793b9213f3,2.420,61.513
reviewer-1786006457-7e2e012b63f1,2.431,203.651
wide-researcher-1786006457-e4d6c7006d03,2.451,123.361
data-analyst-1786006457-ea65c3ef0de5,2.461,244.607
deep-researcher-1786006457-e3e6933e3c44,2.471,93.798
reviewer-1786006457-c9751120416b,2.481,240.730
wide-researcher-1786006457-84d9d4c8c6d4,2.501,136.176
data-analyst-1786006457-054c66d66038,2.511,242.018
deep-researcher-1786006457-aa43522304d7,2.521,198.106
reviewer-1786006457-353edeb16883,2.536,238.497
wide-researcher-1786006457-fb9348591654,2.557,96.082
data-analyst-1786006457-a66ef3895a93,2.566,250.503
deep-researcher-1786006457-48c6ce9dffbb,2.576,184.808
reviewer-1786006457-6777bf55abf0,2.586,189.951
wide-researcher-1786006457-a5d8ddb1ddde,2.607,43.331
data-analyst-1786006457-aab83769bb1c,2.617,117.934
deep-researcher-1786006457-89d412aaf7ba,2.627,134.780
reviewer-1786006457-487d8887f5ec,2.637,212.404
wide-researcher-1786006457-dafb8e9ffc6c,2.662,81.946
data-analyst-1786006457-b674f1d0919e,2.672,244.706
deep-researcher-1786006457-c76520a7f84c,2.682,92.499
reviewer-1786006457-d6652dbce4e5,2.692,217.303
wide-researcher-1786006457-db4e0f12a490,2.718,195.166
data-analyst-1786006457-2d90cc8ab51c,2.729,251.514
deep-researcher-1786006457-687485d5c205,2.740,119.297
reviewer-1786006457-f86d80e8e3d2,2.756,174.545
wide-researcher-1786006457-61c8f8a8bdb9,2.781,195.944
data-analyst-1786006457-5c7cfde30596,2.796,243.417
