elapsed_seconds,timestamp,cpu_percent,rss_mb,pss_mb,uss_mb,footprint_mb,lazy_free_mb,live_mb,active_runs
0.021,2026-08-06T02:23:49,0.00,18.719,,,8.453,0.000,8.453,0
0.581,2026-08-06T02:23:49,0.00,18.719,,,8.453,0.000,8.453,0
1.138,2026-08-06T02:23:50,0.00,18.719,,,8.453,0.000,8.453,0
1.692,2026-08-06T02:23:51,0.00,18.719,,,8.453,0.000,8.453,0
2.232,2026-08-06T02:23:51,0.99,51.531,,,42.000,0.047,41.953,25
2.779,2026-08-06T02:23:52,1.51,104.484,,,94.000,0.031,93.969,64
3.327,2026-08-06T02:23:52,1.49,155.391,,,144.000,0.031,143.969,102
3.873,2026-08-06T02:23:53,1.78,199.391,,,188.000,0.078,187.922,142
4.415,2026-08-06T02:23:53,1.86,237.484,,,224.000,0.203,223.797,180
4.957,2026-08-06T02:23:54,1.93,274.859,,,261.000,0.297,260.703,218
5.513,2026-08-06T02:23:54,2.23,312.891,,,300.000,0.312,299.688,258
6.061,2026-08-06T02:23:55,2.12,348.781,,,338.000,0.109,337.891,298
6.614,2026-08-06T02:23:56,2.38,391.562,,,379.000,0.062,378.938,340
7.162,2026-08-06T02:23:56,2.67,432.312,,,420.000,1.188,418.812,381
7.711,2026-08-06T02:23:57,2.64,461.406,,,447.000,1.906,445.094,422
8.257,2026-08-06T02:23:57,2.96,478.438,,,464.000,0.844,463.156,463
8.805,2026-08-06T02:23:58,2.89,496.156,,,482.000,1.906,480.094,503
9.360,2026-08-06T02:23:58,2.94,507.906,,,494.000,0.375,493.625,545
9.902,2026-08-06T02:23:59,3.30,519.719,,,507.000,0.016,506.984,586
10.447,2026-08-06T02:23:59,3.49,533.500,,,520.000,0.922,519.078,627
11.001,2026-08-06T02:24:00,3.45,544.703,,,531.000,1.562,529.438,667
11.551,2026-08-06T02:24:00,4.04,557.422,,,543.000,1.344,541.656,708
12.102,2026-08-06T02:24:01,3.91,567.047,,,553.000,1.203,551.797,745
12.653,2026-08-06T02:24:02,3.96,577.234,,,563.000,1.672,561.328,783
13.204,2026-08-06T02:24:02,5.21,586.953,,,572.000,2.000,570.000,821
13.754,2026-08-06T02:24:03,5.76,595.953,,,582.000,0.578,581.422,863
14.310,2026-08-06T02:24:03,6.38,607.141,,,593.000,1.047,591.953,907
14.863,2026-08-06T02:24:04,8.39,615.578,,,602.000,0.406,601.594,948
15.415,2026-08-06T02:24:04,8.90,625.109,,,611.000,1.500,609.500,988
15.968,2026-08-06T02:24:05,10.53,632.391,,,617.000,2.531,614.469,1000
16.521,2026-08-06T02:24:05,13.31,638.984,,,625.000,1.578,623.422,1000
17.074,2026-08-06T02:24:06,11.46,645.000,,,631.000,1.312,629.688,1000
17.622,2026-08-06T02:24:07,13.41,651.891,,,637.000,1.828,635.172,1000
18.167,2026-08-06T02:24:07,12.03,659.000,,,643.000,3.609,639.391,1000
18.723,2026-08-06T02:24:08,12.19,663.047,,,645.000,5.375,639.625,1000
19.271,2026-08-06T02:24:08,13.28,669.391,,,647.000,8.641,638.359,1000
19.819,2026-08-06T02:24:09,12.47,674.031,,,650.000,11.000,639.000,1000
20.359,2026-08-06T02:24:09,12.16,678.312,,,653.000,12.000,641.000,1000
20.915,2026-08-06T02:24:10,12.95,683.672,,,658.000,13.000,645.000,1000
21.470,2026-08-06T02:24:10,10.59,689.750,,,662.000,15.000,647.000,1000
22.023,2026-08-06T02:24:11,11.65,694.672,,,666.000,15.000,651.000,1000
22.575,2026-08-06T02:24:11,11.13,699.922,,,672.000,15.000,657.000,1000
23.119,2026-08-06T02:24:12,10.12,704.016,,,677.000,15.000,662.000,1000
23.675,2026-08-06T02:24:13,12.81,708.000,,,680.000,15.000,665.000,1000
24.232,2026-08-06T02:24:13,12.09,712.828,,,684.000,16.000,668.000,1000
24.781,2026-08-06T02:24:14,12.14,717.500,,,688.000,16.000,672.000,1000
25.331,2026-08-06T02:24:14,11.90,722.656,,,693.000,17.000,676.000,1000
25.880,2026-08-06T02:24:15,10.65,728.109,,,698.000,17.000,681.000,1000
26.438,2026-08-06T02:24:15,10.34,732.938,,,704.000,16.000,688.000,1000
26.989,2026-08-06T02:24:16,12.14,738.531,,,709.000,16.000,693.000,1000
27.550,2026-08-06T02:24:16,9.46,741.906,,,715.000,14.000,701.000,1000
28.111,2026-08-06T02:24:17,10.49,747.594,,,723.000,12.000,711.000,1000
28.670,2026-08-06T02:24:18,10.31,752.859,,,729.000,10.000,719.000,1000
29.227,2026-08-06T02:24:18,9.71,757.469,,,737.000,7.500,729.500,1000
29.780,2026-08-06T02:24:19,9.70,762.750,,,740.000,9.438,730.562,1000
30.331,2026-08-06T02:24:19,10.35,767.031,,,746.000,8.094,737.906,999
30.886,2026-08-06T02:24:20,9.13,772.469,,,753.000,6.547,746.453,999
31.444,2026-08-06T02:24:20,9.41,777.391,,,759.000,5.516,753.484,1002
31.987,2026-08-06T02:24:21,9.73,781.547,,,764.000,4.359,759.641,1005
32.539,2026-08-06T02:24:21,9.54,787.469,,,768.000,6.234,761.766,1000
33.086,2026-08-06T02:24:22,9.47,792.453,,,769.000,10.000,759.000,990
33.639,2026-08-06T02:24:23,8.83,795.469,,,771.000,11.000,760.000,981
34.191,2026-08-06T02:24:23,9.69,798.875,,,773.000,13.000,760.000,971
34.738,2026-08-06T02:24:24,9.39,802.500,,,775.000,14.000,761.000,963
35.291,2026-08-06T02:24:24,8.46,806.359,,,777.000,16.000,761.000,962
35.843,2026-08-06T02:24:25,9.82,809.688,,,780.000,17.000,763.000,954
36.394,2026-08-06T02:24:25,8.12,813.406,,,782.000,18.000,764.000,947
36.950,2026-08-06T02:24:26,6.17,816.609,,,784.000,20.000,764.000,943
37.502,2026-08-06T02:24:26,6.09,820.000,,,785.000,22.000,763.000,939
38.067,2026-08-06T02:24:27,5.03,823.812,,,788.000,23.000,765.000,938
38.617,2026-08-06T02:24:28,6.33,827.125,,,789.000,25.000,764.000,934
39.168,2026-08-06T02:24:28,5.09,830.938,,,792.000,26.000,766.000,926
39.730,2026-08-06T02:24:29,4.76,834.703,,,796.000,26.000,770.000,926
40.295,2026-08-06T02:24:29,4.68,839.578,,,802.000,25.000,777.000,925
40.842,2026-08-06T02:24:30,4.66,843.875,,,806.000,25.000,781.000,933
41.400,2026-08-06T02:24:30,4.57,848.016,,,812.000,23.000,789.000,934
41.956,2026-08-06T02:24:31,4.38,852.531,,,817.000,22.000,795.000,944
42.513,2026-08-06T02:24:31,4.63,857.297,,,825.000,19.000,806.000,943
43.072,2026-08-06T02:24:32,4.27,862.172,,,832.000,17.000,815.000,954
43.629,2026-08-06T02:24:33,4.30,871.703,,,842.000,17.000,825.000,958
44.194,2026-08-06T02:24:33,4.28,876.125,,,849.000,14.000,835.000,960
44.758,2026-08-06T02:24:34,4.76,881.516,,,856.000,13.000,843.000,956
45.316,2026-08-06T02:24:34,4.82,885.547,,,861.000,11.000,850.000,957
45.876,2026-08-06T02:24:35,4.17,889.281,,,866.000,10.000,856.000,957
46.434,2026-08-06T02:24:35,4.26,893.750,,,873.000,7.625,865.375,961
46.986,2026-08-06T02:24:36,4.83,899.453,,,878.000,8.125,869.875,960
47.546,2026-08-06T02:24:36,4.01,903.328,,,885.000,5.562,879.438,966
48.104,2026-08-06T02:24:37,4.49,908.047,,,892.000,3.656,888.344,970
48.665,2026-08-06T02:24:38,4.07,912.859,,,898.000,1.781,896.219,971
49.223,2026-08-06T02:24:38,4.24,916.578,,,903.000,0.641,902.359,975
49.791,2026-08-06T02:24:39,4.49,922.719,,,909.000,1.344,907.656,973
50.352,2026-08-06T02:24:39,3.87,927.656,,,914.000,1.016,912.984,978
50.922,2026-08-06T02:24:40,4.16,934.453,,,920.000,2.312,917.688,980
51.490,2026-08-06T02:24:40,5.01,940.125,,,925.000,2.453,922.547,949
52.050,2026-08-06T02:24:41,4.45,943.703,,,928.000,3.000,925.000,913
52.612,2026-08-06T02:24:42,4.26,947.828,,,931.000,4.031,926.969,878
53.167,2026-08-06T02:24:42,3.96,952.641,,,933.000,6.188,926.812,848
53.733,2026-08-06T02:24:43,3.75,956.922,,,938.000,6.266,931.734,821
54.295,2026-08-06T02:24:43,4.38,961.969,,,944.000,4.828,939.172,792
